title;blobcity_link;description;github_link;tags;created_at;modified_at
dnc1994/Kaggle-Playground;https://cloud.blobcity.com/#/ps/view-cloudbook/2da4bcf2-3d66-4ed7-bc27-d3aae235b08d/base/CPU?name=dnc1994%2FKaggle-Playground;Jupyter notebooks and code examples for my Kaggle Beginners' Guide.;https://github.com/dnc1994/Kaggle-Playground;['Base Notebook', 'CPU'];2020-11-25 11:29:00;2020-11-25 11:29:00
microsoft/cognitive-services-notebooks;https://cloud.blobcity.com/#/ps/view-cloudbook/e8a1eefb-70d6-4591-80be-183cbd48866d/base/CPU?name=microsoft%2Fcognitive-services-notebooks;Interactive Jupyter notebooks for Microsoft Cognitive Services;https://github.com/microsoft/cognitive-services-notebooks;['Base Notebook', 'CPU'];2020-11-25 11:26:00;2020-11-25 11:26:00
cantaro86/Financial-Models-Numerical-Methods;https://cloud.blobcity.com/#/ps/view-cloudbook/525f5f4a-1e7c-4b2b-b7ad-4442a898f514/base/CPU?name=cantaro86%2FFinancial-Models-Numerical-Methods;Collection of notebooks about quantitative finance, with interactive python code.;https://github.com/cantaro86/Financial-Models-Numerical-Methods;['Base Notebook', 'CPU'];2020-11-25 09:55:00;2020-11-25 09:55:00
gabehollombe-aws/jupyter-notebooks;https://cloud.blobcity.com/#/ps/view-cloudbook/1d2737dd-1d2e-4350-a571-332043270011/base/CPU?name=gabehollombe-aws%2Fjupyter-notebooks;;https://github.com/gabehollombe-aws/jupyter-notebooks;['Base Notebook', 'CPU'];2020-11-25 10:21:00;2020-11-25 10:21:00
ml-in-R;https://cloud.blobcity.com/#/ps/view-cloudbook/379fdc3b-da4e-4f67-abbc-c25baa769b28/r/CPU?name=ml-in-R;;;['R Notebook', 'CPU'];2020-11-28 04:43:00;2020-11-28 04:43:00
jasonstrimpel/PyData-Meetup;https://cloud.blobcity.com/#/ps/view-cloudbook/3d236235-6355-4ae8-8d6f-981aa46ea9f1/base/CPU?name=jasonstrimpel%2FPyData-Meetup;Notebook for 19 January PyData Singapore Meetup;https://github.com/jasonstrimpel/PyData-Meetup;['Base Notebook', 'CPU'];2020-11-25 11:29:00;2020-11-25 11:29:00
xtreamsrl/jupytemplate;https://cloud.blobcity.com/#/ps/view-cloudbook/30094e3d-4428-4586-988c-e912a200eb67/base/CPU?name=xtreamsrl%2Fjupytemplate;Templates for jupyter notebooks;https://github.com/xtreamsrl/jupytemplate;['Base Notebook', 'CPU'];2020-11-25 12:00:00;2020-11-25 12:00:00
digitalearthafrica/deafrica-sandbox-notebooks;https://cloud.blobcity.com/#/ps/view-cloudbook/bf49bc25-67b6-4e20-81e8-1daee8a34f52/base/CPU?name=digitalearthafrica%2Fdeafrica-sandbox-notebooks;Notebooks for the Digital Earth Africa Sandbox;https://github.com/digitalearthafrica/deafrica-sandbox-notebooks;['Base Notebook', 'CPU'];2020-11-25 11:31:00;2020-11-25 11:31:00
jpcolino/IPython_notebooks;https://cloud.blobcity.com/#/ps/view-cloudbook/92260d90-bf5e-4463-a58c-0a4b9536a8b9/base/CPU?name=jpcolino%2FIPython_notebooks;Set of Jupyter (iPython) notebooks (and few pdf-presentations) about things that I am interested on, like Computer Science, Statistics and Machine-Learning, Artificial Intelligence (AI), Financial Engineering, Optimization, Stochastic Modelling, Time-Series forecasting, Science in general... and more.;https://github.com/jpcolino/IPython_notebooks;['Base Notebook', 'CPU'];2020-11-25 11:00:00;2020-11-25 11:00:00
jonkrohn/tf2;https://cloud.blobcity.com/#/ps/view-cloudbook/48147636-1dfb-4e3f-b721-674c00904cce/base/CPU?name=jonkrohn%2Ftf2;TensorFlow 2.x Jupyter Notebooks;https://github.com/jonkrohn/tf2;['Base Notebook', 'CPU'];2020-11-25 11:29:00;2020-11-25 11:29:00
