author;contributors;created_at;description;description2;industry;language_primary;languages;license;link;ml_detected;ml_libs;ml_tags;ml_terms;name;pushed_at;scraped_at;stars;stars_score;title;type
583;0;2020-03-15 02:19:04;;Ã¦ÂÂºÃ¥ÂÂ¨Ã¥Â­Â¦Ã¤Â¹Â Ã§ÂºÂ¯Ã§Â®ÂÃ¦Â³ÂÃ¥Â®ÂÃ§ÂÂ°Ã£ÂÂÃ¦ÂÂÃ§Â»Â­Ã¦ÂÂ´Ã¦ÂÂ°;;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/583/machine_learning_notebook;1.0;['sklearn'];['KNN', 'NN', 'Regression'];['KNN', 'NN', 'classif', 'clustering', 'decision tree', 'gradient descent', 'k-means', 'k-nearest neighbor', 'linear regression', 'logistic regression', 'regression'];;2020-03-20 04:41:34;2020-12-19 22:36:54;13.0;0.327;machine_learning_notebook;
aaren;6;2014-02-17 17:28:59;Markdown <=> IPython Notebook;Markdown <=> IPython Notebook;;Jupyter Notebook;['Jupyter Notebook: 64.9%', 'Python: 33.3%', 'Smarty: 1.5%', 'Shell: 0.3%'];BSD-2-Clause;https://github.com/aaren/notedown;0.8;['pattern'];['Regression'];[];;2020-11-03 15:07:00;2020-12-20 08:46:03;746.0;0.629;notedown;
abhinavsagar;0;2019-06-18 14:10:12;Sample notebooks for Kaggle competitions;Sample notebooks for Kaggle competitions;;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/abhinavsagar/kaggle-notebooks;1.0;['keras', 'skimage', 'sklearn', 'tensorflow'];['AI', 'ANN', 'CNN', 'CV', 'DL', 'K-Means', 'NN', 'RL', 'Random Forest', 'ReLu', 'Regression', 'U-Net'];['AI', 'NN', 'classif', 'clustering', 'detect', 'fit', 'k-means', 'predict', 'u-net'];;2020-09-22 15:27:59;2020-12-20 08:45:01;71.0;0.473;kaggle-notebooks;
abulbasar;2;2017-05-05 18:09:09;notebooks with example for machine learning examples;notebooks with example for machine learning examples;;Jupyter Notebook;['Jupyter Notebook: 99.9%', 'Other: 0.1%'];Apache-2.0;https://github.com/abulbasar/machine-learning;1.0;['keras', 'lightgbm', 'nltk', 'opencv-python', 'pattern', 'sklearn', 'spacy', 'statsmodels', 'tensorflow', 'vocabulary', 'xgboost'];['AI', 'Bayesian', 'CV', 'Classification', 'Clustering', 'Decision Tree', 'K-Means', 'KNN', 'LSTM', 'Linear Regression', 'Logistic Regression', 'ML', 'NER', 'NLP', 'NN', 'RL', 'Random Forest', 'ReLu', 'Recommender', 'Regression', 'Sentiment Analysis', 'Text Classification'];['ML', 'machine learning'];;2020-09-10 06:32:24;2020-12-19 23:15:29;45.0;0.437;machine-learning;
acgeospatial;0;2018-01-28 16:21:21;Sample sample scripts and notebooks on processing satellite imagery;Sample sample scripts and notebooks on processing satellite imagery;;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/acgeospatial/Satellite_Imagery_Python;1.0;['skimage', 'sklearn'];['CV', 'Classification', 'K-Means', 'Recommender'];['CV', 'classif', 'k-means'];;2021-01-02 15:31:39;2020-12-19 22:41:03;79.0;0.482;Satellite_Imagery_Python;
ageron;38;2016-02-16 19:48:39;A series of Jupyter notebooks that walk you through the fundamentals of Machine Learning and Deep Learning in python using Scikit-Learn and TensorFlow.;A series of Jupyter notebooks that walk you through the fundamentals of Machine Learning and Deep Learning in python using Scikit-Learn and TensorFlow.;;Jupyter Notebook;['Jupyter Notebook: 99.7%', 'Other: 0.3%'];Apache-2.0;https://github.com/ageron/handson-ml;1.0;['keras', 'nltk', 'pattern', 'skimage', 'sklearn', 'tensorflow', 'vocabulary', 'xgboost'];['AI', 'ANN', 'Anomaly Detection', 'Bayesian', 'CNN', 'CV', 'Classification', 'Clustering', 'DL', 'Decision Tree', 'GRU', 'Gradient Boosting', 'Image Segmentation', 'K-Means', 'KNN', 'LSTM', 'Linear Regression', 'Logistic Regression', 'ML', 'Machine Translation', 'NER', 'NN', 'RL', 'RNN', 'Random Forest', 'ReLu', 'Recommender', 'Regression', 'Supervised Learning', 'Support Vector Machines', 'Unsupervised learning'];['AI', 'RL', 'bayesian', 'fit', 'layer', 'machine learning', 'model', 'predict', 'random forest', 'recommend', 'regression', 'reinforcement learning', 'supervised learning', 'train'];;2020-11-29 09:08:01;2020-12-20 08:43:41;21950.0;0.777;handson-ml;
ageron;40;2019-01-08 03:49:07;A series of Jupyter notebooks that walk you through the fundamentals of Machine Learning and Deep Learning in Python using Scikit-Learn, Keras and TensorFlow 2.;A series of Jupyter notebooks that walk you through the fundamentals of Machine Learning and Deep Learning in Python using Scikit-Learn, Keras and TensorFlow 2.;;Jupyter Notebook;['Jupyter Notebook: 100.0%'];Apache-2.0;https://github.com/ageron/handson-ml2;1.0;['keras', 'nltk', 'pattern', 'sklearn', 'spacy', 'tensorflow', 'vocabulary', 'xgboost'];['AI', 'ANN', 'Anomaly Detection', 'Bayesian', 'CNN', 'CV', 'Classification', 'Clustering', 'DL', 'Decision Tree', 'GAN', 'GRU', 'Gradient Boosting', 'Image Segmentation', 'K-Means', 'KNN', 'LSTM', 'Linear Regression', 'Logistic Regression', 'ML', 'Machine Translation', 'NER', 'NLP', 'NN', 'RL', 'RNN', 'Random Forest', 'ReLu', 'Recommender', 'Regression', 'ResNet', 'Sentiment Analysis', 'Supervised Learning', 'Support Vector Machines', 'Unsupervised learning'];['AI', 'CNN', 'GAN', 'ML', 'NN', 'RL', 'RNN', 'activation function', 'anomaly', 'anomaly detection', 'artificial neural network', 'autoencoder', 'bayesian', 'classif', 'clustering', 'computer vision', 'convolutional neural network', 'decision tree', 'deep learning', 'detect', 'generative adversarial network', 'image segmentation', 'k-means', 'layer', 'loss', 'lstm', 'machine learning', 'machine translation', 'model', 'natural language processing', 'neural network', 'object detection', 'random forest', 'recommend', 'regression', 'reinforcement learning', 'resnet', 'sentiment analysis', 'supervised learning', 'support vector machines', 'train', 'unsupervised learning'];;2020-12-31 16:37:57;2020-12-20 08:50:37;12136.0;0.756;handson-ml2;
ageron;2;2020-06-23 06:38:28;Julia Jupyter/Colab Notebooks;Julia Jupyter/Colab Notebooks;;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/ageron/julia_notebooks;0.8;['pattern'];['AI', 'ML', 'RL', 'ReLu', 'Recommender'];[];;2020-07-06 05:21:38;2020-12-20 08:43:59;50.0;0.446;julia_notebooks;
ageron;3;2019-01-06 01:38:21;"Notebooks for my ""Deep Learning with TensorFlow 2 and Keras"" course";"Notebooks for my ""Deep Learning with TensorFlow 2 and Keras"" course";;Jupyter Notebook;['Jupyter Notebook: 100.0%'];Apache-2.0;https://github.com/ageron/tf2_course;1.0;['keras', 'pattern', 'sklearn', 'tensorflow', 'vocabulary'];['CNN', 'CV', 'Classification', 'GRU', 'LSTM', 'ML', 'NN', 'Object Detection', 'RL', 'RNN', 'ReLu', 'Regression', 'ResNet', 'Sentiment Analysis'];['RL', 'deep learning', 'machine learning', 'recommend', 'train'];;2020-11-13 18:06:13;2020-12-20 08:43:22;1736.0;0.673;tf2_course;
AiswaryaSrinivas;0;2018-07-29 12:28:42;This contains python notebooks for Data Analysis;This contains python notebooks for Data Analysis;;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/AiswaryaSrinivas/DataScienceWithPython;1.0;['gensim', 'lightgbm', 'nltk', 'sklearn', 'spacy', 'textblob', 'vocabulary', 'xgboost'];['CV', 'Classification', 'Decision Tree', 'GBM', 'Linear Regression', 'Logistic Regression', 'ML', 'NN', 'RL', 'Random Forest', 'Recommender', 'Regression'];['predict', 'recommend'];;2019-02-15 03:53:14;2020-12-20 08:51:42;17.0;0.352;DataScienceWithPython;
