link;category;subcategory;category_guess;category_match;category_similar;subcategory_guess;subcategory_match;subcategory_similar
https://github.com/1davegalloway/SchoolDistrictAnalysis;Education & Research;School;"{""Education & Research"": 0.5465587377548218}";True;False;"{""School"": 0.9291850328445435, ""Student"": 0.5780940651893616, ""Preventative and Reactive"": 0.47064611315727234}";True;False
https://github.com/A7med01/Deep-learning-for-Animal-Identification;Biotechnological & Life Sciences;Life-sciences;"{""Biotechnological & Life Sciences"": 0.3266543447971344}";True;False;"{""Machine Learning"": 0.9797452688217163, ""Tools"": 0.4589126706123352, ""Preventative and Reactive"": 0.3172053098678589, ""Quality"": 0.2781340777873993}";False;False
https://github.com/AayushG159/Plant-Leaf-Identification;Biotechnological & Life Sciences;Life-sciences;"{""Agriculture"": 0.37981149554252625, ""Biotechnological & Life Sciences"": 0.3781263530254364}";False;True;"{""Life-sciences"": 0.5535442233085632, ""Quality"": 0.5409448146820068, ""Student"": 0.5254994630813599, ""Tools"": 0.2926534116268158}";True;False
https://github.com/aayushmudgal/Reducing-Manufacturing-Failures;Manufacturing;Failure;"{""Manufacturing"": 0.9865870475769043}";True;False;"{""Preventative and Reactive"": 0.8932819366455078, ""Failure"": 0.745354950428009}";False;True
https://github.com/ab-bh/Disease-Outbreak-Prediction/;Emergency & Relief;Disaster Management;{};False;False;"{""Preventative and Reactive"": 0.45853111147880554}";False;False
https://github.com/abhiagar90/power_networks;Government and Public Works;Politics;"{""Construction & Engineering"": 0.2756574749946594}";False;False;"{""Preventative and Reactive"": 0.8739529848098755, ""Policy and Regulatory"": 0.6451929211616516, ""Politics"": 0.4249274730682373, ""General"": 0.3865247368812561, ""Tools"": 0.3531532883644104}";False;True
https://github.com/abjer/sds/;Government and Public Works;Social Policies;{};False;False;"{""Student"": 0.5157282948493958}";False;False
https://github.com/abuchowdhury/Mortgage_Bank_Loan_Analtsics/;Banking & Insurance;Consumer Financial;"{""Finance"": 0.3870029151439667}";False;False;"{""Machine Learning"": 0.9407889246940613, ""Preventative and Reactive"": 0.5308257341384888, ""Tools"": 0.4988923668861389}";False;False
https://github.com/AccelAI/AI-Law-Minicourse/;Justice, Law and Regulations;Judicial Applied;"{""Justice, Law and Regulations"": 0.3597920835018158}";True;False;"{""Student"": 0.7936757802963257, ""Preventative and Reactive"": 0.5259842872619629, ""School"": 0.39650997519493103, ""Policy and Regulatory"": 0.2719587981700897}";False;False
https://github.com/aditink/EMSRouting;Emergency & Relief;Ambulance:;"{""Healthcare"": 0.9366074800491333, ""Emergency & Relief"": 0.39312639832496643}";False;True;"{""Transportation"": 0.9537754654884338, ""Preventative and Reactive"": 0.7773281931877136, ""Policy and Regulatory"": 0.49969184398651123, ""Student"": 0.26744842529296875}";False;False
https://github.com/adrianakopf/NJPublicSchools;Education & Research;School;"{""Education & Research"": 0.3513314127922058}";True;False;"{""School"": 0.9972899556159973, ""Student"": 0.7216224074363708, ""Quality"": 0.3713292181491852, ""Preventative and Reactive"": 0.2777365744113922}";True;False
https://github.com/aeronetlab/emergency-mapping;Emergency & Relief;Preventative and Reactive;"{""Utilities"": 0.5425269603729248}";False;False;"{""Tools"": 0.8460959196090698, ""Preventative and Reactive"": 0.627753496170044, ""Quality"": 0.2934209108352661, ""Real Estate"": 0.27030685544013977}";False;True
https://github.com/akarazeev/LegalTech;Justice, Law and Regulations;Tools;"{""Justice, Law and Regulations"": 0.5091742873191833}";True;False;"{""Policy and Regulatory"": 0.4257994294166565, ""Preventative and Reactive"": 0.4162297248840332, ""Quality"": 0.2591853439807892}";False;False
https://github.com/Akesari12/LS123_Data_Prediction_Law_Spring-2019/;Government and Public Works;Election Analysis;"{""Utilities"": 0.32801783084869385}";False;False;"{""General"": 0.40299031138420105, ""Quality"": 0.3079024851322174, ""Sequencing"": 0.3059132397174835}";False;False
https://github.com/akpen/Stockholm-0.1;Utilities;Transportation;{};False;False;"{""Transportation"": 0.9587769508361816, ""Preventative and Reactive"": 0.3460385799407959}";True;False
