author;contributors;created_at;description;description2;industry;language_primary;languages;license;link;ml_detected;ml_libs;ml_tags;ml_terms;name;pushed_at;scraped_at;stars;stars_score;title;type
1davegalloway;0;2018-07-19 02:41:45;This analysis investigates the data of test scores, school budgets, and if high budgets actually result in high test scores;School budget vs school results.;Education & Research;Jupyter Notebook;['Jupyter Notebook: 96.8%', 'Python: 3.2%'];;https://github.com/1davegalloway/SchoolDistrictAnalysis;0.0;[];[];[];PyCity 2;2018-07-25 04:01:33;2020-10-31 00:31:50;0.0;0.0;SchoolDistrictAnalysis;School
A7med01;0;2018-11-04 12:14:31;Animal Identification with Deep Convolutional Neural Networks and fast.ai library;Deep learning for animal identification.;Biotechnological & Life Sciences;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/A7med01/Deep-learning-for-Animal-Identification;1.0;['Pillow', 'tensorflow'];['Classification', 'DL'];['DL', 'classif', 'computer vision', 'deep learning', 'detect', 'layer', 'model', 'predict', 'test data', 'train'];Animal Identification;2020-08-13 15:12:16;2020-10-31 00:20:36;11.0;0.311;Deep-learning-for-Animal-Identification;Life-sciences
AayushG159;2;2018-04-13 14:07:44;Identification of plants through plant leaves on the basis of their shape, color and texture features using digital image processing techniques;Identification of plants through plant leaves on the basis of their shape, color and texture.;Biotechnological & Life Sciences;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/AayushG159/Plant-Leaf-Identification;1.0;['sklearn'];['AI', 'CV', 'Classification', 'ML'];['CV', 'classif', 'filter', 'model', 'recommend', 'train'];Leaf Identification;2020-08-03 13:25:47;2020-10-30 23:55:15;44.0;0.435;Plant-Leaf-Identification;Life-sciences
aayushmudgal;0;2016-12-21 21:11:52;Reducing Manufacturing Failures - A Kaggle Challenge;Reducing manufacturing failures.;Manufacturing;Jupyter Notebook;['Jupyter Notebook: 97.1%', 'Python: 2.1%', 'R: 0.8%'];Apache-2.0;https://github.com/aayushmudgal/Reducing-Manufacturing-Failures;1.0;['sklearn', 'xgboost'];['CV', 'Classification', 'Gradient Boosting', 'Naive Bayes', 'Random Forest'];['classif', 'gradient boosting', 'naive bayes', 'random forest', 'train'];Manufacturing Failures;2016-12-23 03:08:34;2020-10-31 00:44:24;2.0;0.152;Reducing-Manufacturing-Failures;Failure
ab-bh;3;;Innovaccer Hackercamp '17 Project for predicting the Disease outbreak in U.S.A for historical data for 1960 - 2011;Machine Learning implementation based on multiple classifier algorithm implementations.;Emergency & Relief;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/ab-bh/Disease-Outbreak-Prediction/;1.0;['sklearn'];['Classification', 'ML', 'Regression'];['predict'];Predicting Disease Outbreak;2017-12-20 16:38:14;2020-10-31 00:35:37;;0.0;Disease-Outbreak-Prediction;Disaster Management
abhiagar90;2;2015-03-12 13:17:22;Under progress work for constructing a watchdog for Indian corporate and political networks;Constructing a watchdog for Indian corporate and political networks;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 45.6%', 'HTML: 42.2%', 'JavaScript: 8.8%', 'Python: 3.3%', 'SQLPL: 0.1%', 'PHP: 0.0%'];;https://github.com/abhiagar90/power_networks;1.0;['pattern'];['AI', 'Clustering', 'DL', 'ML', 'NN', 'RL'];['ML', 'RL', 'clustering', 'detect', 'filter', 'fit', 'label', 'layer', 'model', 'rank', 'recommend', 'train'];Power Networks;2016-07-01 16:20:41;2020-10-31 00:56:36;3;0.188;power_networks;Politics
abjer;4;;Social Data Science - a summer school course;Social data science summer school course.;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/abjer/sds/;1.0;['gensim', 'nltk', 'pattern', 'sklearn', 'spacy', 'vocabulary'];['AI', 'AutoML', 'CV', 'Classification', 'Clustering', 'DL', 'Decision Tree', 'GRU', 'K-Means', 'KNN', 'Linear Regression', 'Logistic Regression', 'ML', 'NER', 'NLP', 'NN', 'Naive Bayes', 'RL', 'Random Forest', 'Regression', 'Sentiment Analysis', 'Supervised Learning', 'Support Vector Machines', 'Text Classification', 'Unsupervised learning'];['AI', 'DL', 'ML', 'NN', 'RL', 'bayesian', 'classif', 'decision tree', 'deep learning', 'fit', 'gru', 'k-nearest neighbor', 'label', 'layer', 'linear regression', 'logistic regression', 'machine learning', 'model', 'natural language processing', 'neural network', 'predict', 'random forest', 'recommend', 'regression', 'relu', 'sentiment analysis', 'supervised learning', 'support vector machines', 'text classification', 'train', 'unsupervised learning'];Computational Social Science;2018-08-31 15:52:33;2020-10-31 00:50:30;;0.0;sds;Social Policies
abuchowdhury;0;;Mortgage Bank Loan Analytics with ARIMA and Machine Learning;Extensive mortgage loan analytics.;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 98.2%', 'TeX: 1.8%'];;https://github.com/abuchowdhury/Mortgage_Bank_Loan_Analtsics/;1.0;['pattern', 'sklearn', 'statsmodels'];['AI', 'CV', 'Classification', 'Decision Tree', 'GBM', 'Gradient Boosting', 'KNN', 'Linear Regression', 'Logistic Regression', 'ML', 'NN', 'Random Forest', 'Regression', 'Supervised Learning'];['KNN', 'ML', 'NN', 'classif', 'decision tree', 'fit', 'k-nearest neighbor', 'label', 'linear regression', 'logistic regression', 'loss', 'machine learning', 'model', 'predict', 'random forest', 'recommend', 'regression', 'support vector machines', 'train'];Mortgage Analytics;2019-02-06 18:39:51;2020-10-31 00:19:00;;0.0;Mortgage_Bank_Loan_Analtsics;Consumer Financial
AccelAI;0;;Mini-course for SCU Law;Multiple steps necessary to implement topic modeling on supreme court decisions.;Justice, Law and Regulations;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/AccelAI/AI-Law-Minicourse/;1.0;['nltk', 'pattern', 'sklearn', 'spacy', 'textblob', 'vocabulary'];['AI', 'CNN', 'Chatbot', 'Classification', 'DL', 'Linear Regression', 'Logistic Regression', 'ML', 'Machine Translation', 'NER', 'NLP', 'NN', 'RL', 'RNN', 'ReLu', 'Regression', 'Sentiment Analysis', 'Speech Recognition', 'Supervised Learning', 'Unsupervised learning'];['AI', 'ML', 'NLP', 'artificial intelligence', 'autoencoder', 'classif', 'clustering', 'convolutional neural network', 'deep learning', 'fit', 'label', 'machine learning', 'model', 'natural language processing', 'neural network', 'predict', 'supervised learning', 'unsupervised learning'];Supreme Court Topic Modeling;2018-01-29 20:22:08;2020-10-31 00:43:41;;0.0;AI-Law-Minicourse;Judicial Applied
aditink;3;2018-11-10 03:17:04;Project to find optimal routing of ambulances in Ithaca;Project to find optimal routing of ambulances in Ithaca.;Emergency & Relief;Jupyter Notebook;['Jupyter Notebook: 57.4%', 'HTML: 42.6%'];;https://github.com/aditink/EMSRouting;0.3;[];['ML'];[];Optimal Routing;2018-11-12 05:42:57;2020-10-31 00:35:30;0;0.0;EMSRouting;Ambulance:
adrianakopf;0;2019-04-09 21:35:34;Schools Performance;NJ School Performance;Education & Research;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/adrianakopf/NJPublicSchools;0.0;[];[];[];School Performance 4;2019-04-23 01:21:22;2020-10-31 00:31:42;0;0.0;NJPublicSchools;School
aeronetlab;3;2018-03-01 10:20:04;Some useful utils and a sample pipeline for detection of destroyed houses in California by DigitalGlobe imagery;Detection of destroyed houses in California;Emergency & Relief;Jupyter Notebook;['Jupyter Notebook: 98.4%', 'Python: 1.5%', 'Other: 0.1%'];;https://github.com/aeronetlab/emergency-mapping;1.0;['keras', 'pattern', 'tensorflow'];['AI', 'ANN', 'CV', 'ML', 'NN', 'RL', 'U-Net'];['DL', 'detect', 'ground truth', 'label', 'train'];Emergency Mapping;2019-10-18 08:42:32;2020-10-31 00:31:58;4;0.214;emergency-mapping;Preventative and Reactive
akarazeev;4;2017-11-24 16:23:09;LegalEngine - qqmbr team - Junction2017;Chat-bot and email notifications.;Justice, Law and Regulations;Jupyter Notebook;['Jupyter Notebook: 92.0%', 'CSS: 2.8%', 'Python: 2.6%', 'HTML: 2.6%'];;https://github.com/akarazeev/LegalTech;1.0;['catboost', 'sklearn'];['ML'];['fit', 'machine learning', 'predict'];Chat Bot;2018-08-02 11:34:55;2020-10-31 00:42:07;12;0.319;LegalTech;Tools
Akesari12;0;;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;Using ANES data with causal inference models.;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/Akesari12/LS123_Data_Prediction_Law_Spring-2019/;1.0;['gensim', 'keras', 'nltk', 'pattern', 'sklearn', 'statsmodels', 'tensorflow', 'textblob'];['AI', 'ANN', 'CNN', 'CV', 'Classification', 'Clustering', 'DL', 'Decision Tree', 'GAN', 'Linear Regression', 'Logistic Regression', 'ML', 'NLP', 'NN', 'Naive Bayes', 'RL', 'Random Forest', 'ReLu', 'Rectifier', 'Regression', 'Sentiment Analysis', 'Supervised Learning'];['ML', 'NLP', 'classif', 'convolutional neural network', 'decision tree', 'layer', 'machine learning', 'model', 'naive bayes', 'natural language processing', 'neural network', 'predict', 'regression', 'train'];American Election Causal;2019-04-05 20:51:12;2020-10-31 00:52:52;;0.0;LS123_Data_Prediction_Law_Spring-2019;Election Analysis
akpen;0;2016-12-16 02:11:48;Quantifying the inefficiencies of Transportation Networks;Quantifying the inefficiencies of Transportation Networks;Utilities;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/akpen/Stockholm-0.1;0.8;['sklearn', 'statsmodels'];['Regression'];[];Transportation Inefficiencies;2017-02-12 04:22:15;2020-10-31 01:06:21;2;0.152;Stockholm-0.1;Transportation
AlanConstantine;0;2019-04-27 14:51:30;Context-Aware Multi-Modal Transportation Recommendation;Context-Aware Multi-Modal Transportation Recommendation;Utilities;Jupyter Notebook;['Jupyter Notebook: 97.8%', 'Python: 2.2%'];;https://github.com/AlanConstantine/KDD-Cup-2019-CAMMTR;1.0;['lightgbm', 'sklearn'];['Classification', 'GBM', 'RL'];['model', 'recommend', 'train'];Transport Recommendation;2019-05-14 08:13:56;2020-10-31 01:05:27;34;0.413;KDD-Cup-2019-CAMMTR;Transportation
albahnsen;0;2016-05-16 19:37:52;Short Course - Applied Machine Learning for Risk Management;Applied Machine Learning Risk Management;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/albahnsen/ML_RiskManagement;1.0;['pattern', 'sklearn'];['AI', 'Bayesian', 'CV', 'Classification', 'Clustering', 'Decision Tree', 'K-Means', 'KNN', 'Linear Regression', 'Logistic Regression', 'ML', 'NN', 'RL', 'Random Forest', 'Regression', 'Supervised Learning', 'Unsupervised learning'];['ML', 'classif', 'clustering', 'computer vision', 'decision tree', 'detect', 'linear regression', 'logistic regression', 'machine learning', 'model', 'neural network', 'predict', 'recogn', 'recommend', 'recommender', 'regression', 'speech recognition'];ML Risk;2018-02-08 21:05:23;2020-10-30 23:44:06;127;0.517;ML_RiskManagement;Insurance and Risk
albertwebson;0;2017-07-26 21:03:46;Unsupervised learning of political ideology by word vector projections.;Unsupervised learning of political ideology by word vector projections;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/albertwebson/Political-Vector-Projector;0.7;['gensim', 'vocabulary'];[];['model', 'rank', 'train'];Political Ideology;2018-01-06 16:01:47;2020-10-31 00:57:13;5;0.236;Political-Vector-Projector;Politics
albiboni;0;2018-03-06 14:46:12;Structural analysis of the aileron of a Boeing 737;Structural analysis of the aileron of a Boeing 737;Construction & Engineering;Python;['Python: 100.0%'];MIT;https://github.com/albiboni/AileronSimulation;0.0;[];[];[];Aileron;2018-03-06 16:13:40;2020-10-31 00:23:06;5;0.236;AileronSimulation;Engineering
alifier;0;2017-09-28 21:19:56;A model that predicts if a restaurant is going to fail within the next 4 years.;Predict whether a restaurant is going to fail;Accommodation & Food;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/alifier/Restaurant_success_model;1.0;['sklearn'];['AI', 'CV', 'Classification', 'Decision Tree', 'Gradient Boosting', 'Linear Regression', 'Logistic Regression', 'ML', 'Random Forest', 'Regression'];['ML', 'fit', 'gradient boosting', 'logistic regression', 'machine learning', 'model', 'predict', 'regression'];Restaurant Success;2018-01-07 23:59:43;2020-10-30 23:34:35;39;0.425;Restaurant_success_model;Restaurant
alistairwallace97;5;2018-05-10 10:49:51;Imperial College EEE third year group project designing and producing a device, algorithm and app for tracking respiratory diseases in Olympic athletes;Tracking respiratory diseases in Olympic athletes;Healthcare;Jupyter Notebook;['Jupyter Notebook: 55.4%', 'Python: 19.0%', 'Java: 16.2%', 'C++: 7.1%', 'Shell: 1.8%', 'C: 0.5%'];;https://github.com/alistairwallace97/olympian-biotech;1.0;['gensim', 'keras', 'sklearn', 'tensorflow', 'vocabulary'];['AI', 'CNN', 'Classification', 'LSTM', 'ML', 'NN', 'RNN', 'ReLu'];['AI', 'CNN', 'NN', 'convolutional neural network', 'deep learning', 'lstm', 'machine learning', 'neural network', 'recogn', 'train'];Respiratory Disease;2018-06-27 01:14:56;2020-10-31 00:40:22;3;0.188;olympian-biotech;General
altosaar;3;2017-01-17 19:28:52;;Food vectors, see a live demo on the repository's blog. ;Accommodation & Food;Jupyter Notebook;['Jupyter Notebook: 97.4%', 'Python: 1.6%', 'JavaScript: 0.4%', 'HTML: 0.4%', 'Shell: 0.2%', 'Perl: 0.0%'];MIT;https://github.com/altosaar/food2vec;1.0;['nltk', 'sklearn', 'tensorflow', 'vocabulary'];['Classification', 'ML'];['fit', 'model', 'regression', 'train'];Food2vex;2017-07-27 18:59:33;2020-10-30 23:33:51;199;0.548;food2vec;Food
aluo417;0;2018-03-11 06:10:25;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;Financial engineering project for option pricing techniques.;Finance;Jupyter Notebook;['Jupyter Notebook: 69.4%', 'HTML: 30.0%', 'Other: 0.6%'];;https://github.com/aluo417/Financial-Engineering-Projects;0.2;[];[];['predict', 'regression'];Options and Regression;2018-03-15 23:15:29;2020-10-31 00:38:08;5;0.236;Financial-Engineering-Projects;Trading & Investment
AlvaroMenduina;0;;This is a collection of Jupyter Notebooks for teaching and outreach purposes;Astrodynamics and Statistics;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 96.5%', 'Python: 3.5%'];;https://github.com/AlvaroMenduina/Jupyter_Notebooks/;0.8;['pattern'];['Classification', 'Decision Tree', 'Linear Regression', 'RL', 'Regression'];[];Aerospace Engineering;2020-06-22 15:37:10;2020-10-31 00:24:14;;0.0;Jupyter_Notebooks;Engineering
