date;description;license;link;ml_detected;ml_libs;ml_slugs;ml_terms;reference;score_views;score_votes;scraped_at;sources;tags;title;type;views;votes;score_private;score_public
2019-01-11 10:49:10;Hybrid solution update using multiple sources. Here is my quick & dirty test kernel using hybrid clear/crypted training set and partial decryption results. As you can see, the improvement is not impressive... Many Thanks to:  Flal for kernel :Cipher #1 & Cipher #2 Full Solutions (https://www.kaggle.com/leflal/cipher-1-cipher-2-full-solutions) ARES for kernel: Classification - TFIDF + Logistic (https://www.kaggle.com/ananthu017/classification-tfidf-logistic) kaggleuser58 for kernel: 1 char decryption in level 1, 2 and 3 gives 98.85% (https://www.kaggle.com/kaggleuser58/1-char-decryption-in-level-1-2-and-3-gives-98-85);Apache 2.0;https://www.kaggle.com/a45632/classification-tfidf-svm-2-0;1.0;['sklearn'];['ai', 'ml'];['filter', 'train', 'model', 'predict', 'classification'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.615;0.268;2020-12-12 16:01:56;20 Newsgroups Ciphertext Challenge;['gpu, beginner, nlp'];Classification - TFIDF + SVM - 2.0;Python notebook;582.0;7;;
2018-12-24 16:27:39;This is an attempt to solve difficulty 3. It builds on the tools provided by this awesome kernel to solve difficulty 1.  https://www.kaggle.com/rturley/a-first-crack-tools-and-first-cipher-solution;Apache 2.0;https://www.kaggle.com/amansohane/level-3-with-partial-deciphering-0-94-level-3;1.0;['sklearn'];['ai', 'dl', 'gan', 'rl', 'ml', 'nn', 'ann'];['train', 'classification', 'predict'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.593;0.268;2020-12-12 16:01:56;20 Newsgroups Ciphertext Challenge;[];Level 3 with partial deciphering;Python notebook;399.0;7;;
2019-01-04 08:43:54;"What is Attention? Attention is simply a vector, often the outputs of dense layer using softmax function. Before Attention mechanism, translation relies on reading a complete sentence and compress all information into a fixed-length vector, as you can image, a sentence with hundreds of words represented by several words will surely lead to information loss, inadequate translation, etc.  Attention Architecture with Idea Behind it. The basic idea: each time the model predicts an output word, it only uses parts of an input where the most relevant information is concentrated instead of an entire sentence. In other words, it only pays attention to some input words. Let’s investigate how this is implemented.    Encoder works as usual, and thedifference is only on the decoder’s part. As you can see from a picture, the decoder’s hidden state is computed with a context vector, the previous output and the previous hidden state. But now we use not a single context vector c, but a separate context vector c_i for each target word. These context vectors are computed as a weighted sum of annotations generated by the encoder. In Bahdanau’s paper, they use a Bidirectional LSTM, so these annotations are concatenations of hidden states in forward and backward directions. The weight of each annotation is computed by an alignment model which scores how well the inputs and the output match. An alignment model is a feedforward neural network, for instance. In general, it can be any other model as well. As a result, the alphas — the weights of hidden states when computing a context vector — show how important a given annotation is in deciding the next state and generating the output word. These are the attention scores.  Why Attention? The core of Probabilistic Language Model is to assign a probability to a sentence by Markov Assumption. Due to the nature of sentences that consist of different numbers of words, RNN is naturally introduced to model the conditional probability among words.   Vanilla RNN (the classic one) often gets trapped when modeling:  Structure Dilemma: in real world, the length of outputs and inputs can be totally different, while Vanilla RNN can only handle fixed-length problem which is difficult for the alignment. Consider an EN-FR translation examples: “he doesn’t like apples” → “Il n’aime pas les pommes”. Mathematical Nature: it suffers from Gradient Vanishing/Exploding which means it is hard to train when sentences are long enough (maybe at most 4 words). Translation often requires arbitrary input length and out put length, to deal with the deficits above, encoder-decoder model is adopted and basic RNN cell is changed to GRU or LSTM cell, hyperbolic tangent activation is replaced by ReLU. We use GRU cell here.    Embedding layer maps discrete words into dense vectors for computational efficiency. Then embedded word vectors are fed into encoder, aka GRU cells sequentially. What happened during encoding? Information flows from left to right and each word vector is learned according to not only current input but also all previous words. When the sentence is completely read, encoder generates an output and a hidden state at timestep 4 for further processing. For encoding part, decoder (GRUs as well) grabs the hidden state from encoder, trained by teacher forcing (a mode that previous cell’s output as current input), then generate translation words sequentially.  It seems amazing as this model can be applied to N-to-M sequence, yet there still is one main deficit left unsolved: is one hidden state really enough?   How does attention work?  Similar to the basic encoder-decoder architecture, this fancy mechanism plug a context vector into the gap between encoder and decoder. According to the schematic above, blue represents encoder and red represents decoder; and we could see that context vector takes all cells’ outputs as input to compute the probability distribution of source language words for each single word decoder wants to generate. By utilizing this mechanism, it is possible for decoder to capture somewhat global information rather than solely to infer based on one hidden state. And to build context vector is fairly simple. For a fixed target word, first, we loop over all encoders’ states to compare target and source states to generate scores for each state in encoders. Then we could use softmax to normalize all scores, which generates the probability distribution conditioned on target states. At last, the weights are introduced to make context vector easy to train. That’s it. Math is shown below:   To understand the seemingly complicated math, we need to keep three key points in mind:  During decoding,context vectors are computed for every output word. So we will have a 2D matrix whose size is # of target words multiplied by # of source words. Equation (1) demonstrates how to compute a single value given one target word and a set of source word. Once context vector is computed, attention vector could be computed by context vector, target word, and attention function f. We need attention mechanism to be trainable. According to equation (4), both styles offer the trainable weights (W in Luong’s, W1 and W2 in Bahdanau’s). Thus, different styles may result in different performance.  Attention ScoringInputs to the scoring functionLet's start by looking at the inputs we'll give to the scoring function. We will assume we're in the first step in the decoging phase. The first input to the scoring function is the hidden state of decoder (assuming a toy RNN with three hidden nodes -- not usable in real life, but easier to illustrate):";Apache 2.0;https://www.kaggle.com/ashishpatel26/attension-layer-basic-for-nlp;1.0;['pattern'];['ner', 'ai', 'dl', 'rl', 'nn', 'rnn', 'ann'];['gru', 'generation', 'train', 'model', 'neural network', 'machine translation', 'layer', 'loss', 'lstm', 'predict', 'relu', 'hidden layer'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.726;0.464;2020-12-12 16:01:56;multiple data sources;[];Attension Layer Basic For NLP;Python notebook;5631.0;63;;
2018-12-27 10:13:57;"Beginner to Intermediate Natural Language Processing Guide Table of Contents  0.0 Setup 0.1 Python & Anaconda 0.2 Libraries 0.3 Other   1.0 Background 1.1 What is NLP? 1.2 Why is NLP Important? 1.3 Why is NLP a ""hard"" problem? 1.4 Glossary   2.0 Sentiment Analysis 2.1 Preparing the Data 2.1.1 Training Data 2.1.2 Test Data   2.2 Building a Classifier 2.3 Classification 2.4 Accuracy   3.0 Regular Expressions 3.1 Simplest Form 3.2 Case Sensitivity 3.3 Disjunctions  3.4 Ranges  3.5 Exclusions  3.6 Question Marks  3.7 Kleene Star  3.8 Wildcards  3.9 Kleene+    4.0 Word Tagging and Models 4.1 NLTK Parts of Speech Tagger 4.1.1 Ambiguity   4.2 Unigram Models 4.3 Bigram Models   5.0 Normalizing Text 5.1 Stemming 5.1.1 What is Stemming? 5.1.2 Types of Stemmers   5.2 Lemmatization 5.2.1 What is Lemmatization? 5.2.2 WordNetLemmatizer?     6.0 Final Words 6.1 Resources";Apache 2.0;https://www.kaggle.com/ashishpatel26/beginner-to-intermediate-nlp-tutorial;1.0;['vocabulary', 'nltk', 'sklearn', 'spacy', 'pattern'];['ner', 'ai', 'dl', 'gan', 'rl', 'nlp', 'nn', 'ann'];['unlabeled', 'recognition', 'natural language processing', 'logistic regression', 'predict', 'sentiment analysis', 'machine learning', 'training data', 'train', 'classification', 'labeled', 'model', 'loss', 'understanding', 'named entity recognition', 'test data', 'regression', 'artificial intelligence', 'fitting', 'label', 'random forest', 'natural language'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.73;0.427;2020-12-12 16:01:56;multiple data sources;['beginner, nlp, india, +2 morelanguages, spaCy'];Beginner to Intermediate NLP Tutorial;Python notebook;6237.0;40;;
2018-12-19 14:42:40;This a fork of @opanichev 's great kernel: https://www.kaggle.com/opanichev/lightgbm-and-simple-features. Instead of using difficulty as a feature, we'll train a model for each of them.;Apache 2.0;https://www.kaggle.com/ashishpatel26/stratified-kfold-hyperparameter-tuning;1.0;['pattern', 'lightgbm', 'sklearn'];['ai', 'rl', 'ml', 'gbm'];['predict', 'train', 'model', 'label', 'loss'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.627;0.302;2020-12-12 16:01:56;20 Newsgroups Ciphertext Challenge;['gpu, nlp'];Stratified KFold + Hyperparameter Tuning;Python notebook;714.0;10;0.36946;0.36946
2018-12-16 09:47:01;code borrowed from https://www.kaggle.com/jazivxt/enigma-layers-template , thanks!;Apache 2.0;https://www.kaggle.com/interneuron/difficulty-1-deciphering-wip;1.0;['sklearn'];['ner', 'ai', 'gan', 'rl', 'nn'];['train', 'understanding', 'model', 'layer'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.623;0.319;2020-12-12 16:01:56;20 Newsgroups Ciphertext Challenge;[];Difficulty #1 deciphering wip;Python notebook;672.0;12;;
2019-01-09 22:08:28;"This kernel shows how to get 98.85% ciphertexts matched with the plaintext without any decryption. The only thing we need to know is which character for each difficulty corresponds to the plaintext space character. The most frequent character for each of difficulty 1, 2 and 3 is easily found and used as space.  ""1"" is space for difficulty 1 and ""8"" is space for difficulty 2 and 3.";Apache 2.0;https://www.kaggle.com/kaggleuser58/1-char-decryption-in-level-1-2-and-3-gives-98-85;1.0;['pattern', 'sklearn'];['ai', 'rl'];['classification'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.591;0.253;2020-12-12 16:01:56;multiple data sources;[];1 char decryption in level 1, 2 and 3 gives 98.85%;Python notebook;385.0;6;;
2018-12-19 12:16:26;SummaryThe title of this kernel is quite bold and, as all bold affirmations it is not completely true but, it is a good clickbait, isn't it? :-) I think we only need to identify the white space character. There are some interesting kernels trying to decrypt all the texts but, at least for the case of difficulty 1 (and maybe 2), it wouldn't be strictly neccessary. If we knew how the white space is encrypted we could tokenize properly (to models like Bag of Words the real words doesn't matter: if chars substitution has been applied it should work the same) I have tried to know what are the most probable encripted white space character using brute force: my assumption is that, the same model (Logistic Regression) should perform better if we tokenize using the right character.;Apache 2.0;https://www.kaggle.com/lbronchal/don-t-waste-your-time-decrypting-the-texts;1.0;['pattern', 'vocabulary', 'sklearn'];['ner', 'ai', 'rl', 'cv', 'ml'];['filter', 'regression', 'train', 'model', 'label', 'logistic regression', 'predict', 'classification'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.644;0.281;2020-12-12 16:01:56;20 Newsgroups Ciphertext Challenge;['classification, nlp'];Don't waste your time decrypting the texts;Python notebook;971.0;8;;
2018-12-20 01:28:46;This is a quite fast solution working only on the encrypted text, without the use of brute force. It is possible to get this way 0.48+ LB  As it is shown in this kernel, it would be also possible to identify the delimiters used (at least for difficulty 1 and 2), even without decryting the full text. With that knowledge it would be possible to get even a better result without seeing the plain texts or using brute force.;Apache 2.0;https://www.kaggle.com/lbronchal/without-breaking-ciphers-0-48-lb;1.0;['sklearn'];['ai', 'nn', 'ml', 'cv'];['regression', 'train', 'model', 'loss', 'label', 'predict', 'classification'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.635;0.319;2020-12-12 16:01:56;20 Newsgroups Ciphertext Challenge;['nlp, multiclass classification'];Without breaking ciphers: [0.48+ LB];Python notebook;833.0;12;0.48622;0.48622
2019-01-02 15:02:15;This kernel provides targets for the competition test set using exact matchings with plain-text chunks, for cipher #1, #2 & #3. It outputs two dataframes as pickles:  test_123.pkl which contains as target for cipher #1, #2 & #3 the list of all possible targets from decrypted ciphertext exact matchin (see https://www.kaggle.com/leflal/you-cannot-avoid-multiple-targets) test_sub.pkl which contains one target for cipher #1, #2 & #3 (chosen among the above list of possible targets), ready for submission  If you use the output pickle in your work, be it to cross-check your model or enhance your submission,  or if you simply appreciate this contribution,  please upvote this kernel, thanks and have a nice 2019.;Apache 2.0;https://www.kaggle.com/leflal/cipher-1-2-3-exact-matching-targets;1.0;['sklearn'];['ai', 'nn', 'ann'];['train', 'model'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.601;0.292;2020-12-12 16:01:56;multiple data sources;[];Cipher #1, #2 & #3 Exact Matching Targets;Python notebook;455.0;9;;
