date;description;license;link;ml_detected;ml_libs;ml_slugs;ml_terms;reference;score_views;score_votes;scraped_at;sources;tags;title;type;views;votes;score_private;score_public
2020-11-27 07:24:12;Vectorization;Apache 2.0;https://www.kaggle.com/ananthu017/classification-tfidf-logistic;1.0;['sklearn'];['ner', 'ai', 'dl', 'nn', 'ml'];['filter', 'regression', 'train', 'model', 'logistic regression', 'predict', 'classification'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.627;0.292;2020-12-12 16:01:56;20 Newsgroups Ciphertext Challenge;[];Classification - TFIDF + Logistic;Python notebook;714.0;9;;
2019-02-05 11:19:49;Thanks to this kernel:https://www.kaggle.com/collinsjosh/xgboost-classifier;Apache 2.0;https://www.kaggle.com/ashishpatel26/everything-you-want-to-know-about-20-ngctc;1.0;['xgboost', 'sklearn', 'nltk'];['ai', 'nn', 'ann', 'cv'];['filter', 'training data', 'train', 'model', 'label', 'predict', 'classification'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.652;0.362;2020-12-12 16:01:56;20 Newsgroups Ciphertext Challenge;['classification, text data, text mining, +1 moreindia'];Everything you want to know about 20  NGCTC;Python notebook;1137.0;19;;
2018-12-16 10:09:19;Examine the properties by target;Apache 2.0;https://www.kaggle.com/delayedkarma/some-basic-explorations-lgb-baseline;1.0;['xgboost', 'sklearn', 'lightgbm', 'nltk'];['ner', 'ai', 'rl', 'gbm'];['predict', 'train', 'model', 'label', 'loss'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.702;0.268;2020-12-12 16:01:56;multiple data sources;['beginner, data visualization, exploratory data analysis'];Some Basic Explorations + LGB Baseline;Python notebook;3206.0;7;;
2018-12-26 12:30:02;;Apache 2.0;https://www.kaggle.com/jazivxt/enigma-layers-template;1.0;['pattern', 'sklearn'];['ai', 'rl', 'cv'];['train', 'model', 'regression', 'predict'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.637;0.268;2020-12-12 16:01:56;20 Newsgroups Ciphertext Challenge;['puzzles'];Enigma Layers Template;Python notebook;864.0;7;0.49744;0.49744
2018-12-15 19:50:59;;Apache 2.0;https://www.kaggle.com/opanichev/lightgbm-and-simple-features;1.0;['pattern', 'lightgbm', 'sklearn'];['ner', 'ai', 'gbm', 'rl', 'nlp', 'nn'];['train', 'model', 'deep learning', 'loss', 'label', 'predict', 'classification'];https://www.kaggle.com/c/20-newsgroups-ciphertext-challenge;0.665;0.334;2020-12-12 16:01:56;20 Newsgroups Ciphertext Challenge;['beginner, feature engineering'];LightGBM and simple features;Python script;1453.0;14;0.35245;0.35245
2019-09-17 21:53:25;Translations of coordinates from https://www.kaggle.com/lopuhin/lyft-3d-join-all-lidars-annotations-from-scratch;Apache 2.0;https://www.kaggle.com/fartuk1/3d-segmentation-approach;1.0;['tensorflow', 'skimage', 'keras'];['ner', 'ai', 'dl', 'nn', 'ann'];['filter', 'training data', 'train', 'model', 'neural network', 'epoch', 'layer', 'loss', 'label', 'predict', 'relu'];https://www.kaggle.com/c/3d-object-detection-for-autonomous-vehicles;0.689;0.387;2020-12-12 16:08:03;Lyft 3D Object Detection for Autonomous Vehicles;['gpu'];3d segmentation approach;Python notebook;2412.0;25;;
2019-09-14 13:25:13;"This is certainly an interesting and challenging competition.  Lets take a look at the 85GB unique dataset! Disclaimer: I do not know anything about 3D object detection nor about Autonomous Vehicles.  The notebook is provided ""as is"", without warranty of any kind... :)";Apache 2.0;https://www.kaggle.com/gaborfodor/eda-3d-object-detection-challenge;0.5;[];['ai', 'nn', 'ann', 'rl'];['object detection', 'filter', 'train', 'predict', 'ground truth'];https://www.kaggle.com/c/3d-object-detection-for-autonomous-vehicles;0.713;0.449;2020-12-12 16:08:03;Lyft 3D Object Detection for Autonomous Vehicles;[];EDA - 3D Object Detection Challenge;Python notebook;4078.0;52;0.000;0.000
2020-01-28 20:29:21;;Apache 2.0;https://www.kaggle.com/hmendonca/kaggle-pytorch-utility-script;1.0;['pytorch', 'sklearn'];['ner', 'ai', 'dl', 'nn', 'ann'];['filter', 'train', 'model', 'epoch', 'layer', 'label', 'loss'];https://www.kaggle.com/c/3d-object-detection-for-autonomous-vehicles;0.733;0.497;2020-12-12 16:08:01;multiple data sources;['deep learning, utility script'];Kaggle pytorch utility script;Python script;6731.0;96;;
2019-09-15 17:26:35;Main goal here is to learn to work with the data as-is (because not all needed features are presnet in the SDK), join all lidars into one point cloud and apply annotations to make sure we're not missing anything. EDIT as @alexamadori pointed out in comments, most scenes have data only from one lidar, so merging all 3 lidars might not make much sense. Still writing this kernel was useful to me to understand the data and coordinate systems better. Overview of what we're doing below:  we load lidar data (3d points), these points are in coordinate system of the lidar, rotated and translated relative to the car using sensor information of the lidar, we translate points from lidar coordinate frame to car coordinate frame, this allows us to merge data from all 3 lidars annotations and submission are in global coordinates. We translate annotations into the car coordinates, which allows to have both the data and annotations in the same (car) coordinate frame, which can then be used for training  We learn:  how the raw data looks like, so that we understand how SDK works better and can extend it if needed (also if you see any missing features, file issues at https://github.com/lyft/nuscenes-devkit/issues/) how to translate objects between various coordinate frames  In terms of custom packages, we'll use only pyquaternion which is also used by Lyft SDK.;Apache 2.0;https://www.kaggle.com/lopuhin/lyft-3d-join-all-lidars-annotations-from-scratch;0.5;[];['ai', 'nn', 'ann'];['train', 'resnet', 'predict'];https://www.kaggle.com/c/3d-object-detection-for-autonomous-vehicles;0.699;0.464;2020-12-12 16:08:03;Lyft 3D Object Detection for Autonomous Vehicles;[];Lyft 3D: Join all lidars, annotations from scratch;Python notebook;2961.0;63;;
2019-09-20 10:51:56;This kernel generates BEV (Bird's Eye View) images for the test data set. We will be feeding these image into NN for test set predictions. Instead of processing all the images everytime we want to make a prediction, it's better to generate it once and reuse it. You can find Guido Zuidof's original kernel here.;Apache 2.0;https://www.kaggle.com/meaninglesslives/lyft3d-test-dataset;0.5;[];['ner', 'ai', 'cv', 'rl', 'nn', 'ann'];['model', 'test data', 'predict'];https://www.kaggle.com/c/3d-object-detection-for-autonomous-vehicles;0.669;0.367;2020-12-12 16:08:03;Lyft 3D Object Detection for Autonomous Vehicles;[];Lyft3D Test Dataset;Python notebook;1593.0;20;;
