Date;Days Since Featured;Medium;Technology;Theme;link;scraped_at;subtitle;title;url;Title
2020-11-24;8;Web App;Nerual CA;Self-Organization;https://znah.net/hexells;2020-12-01 23:49:55;Neural CA based experience, highlighting the relation between individual cells and their collective;Alexander Mordvintsev;https://mlart.co/item/neural-ca-based-experience_-highlighting-the-relation-between-individual-cells-and-their-collective;
2020-11-01;8;Video;['GAN', 'Few Shot Animation', 'Text To Speech', 'GPT'];['Narrative', 'Stories', 'Collaborative Fiction'];https://rosebud.ai/humansofai;2020-12-01 23:54:06;A collaborative fiction with GPT-3. Video, personas, and voices are all generated;Lisha Li, Vladimir Glazachev, Dzmitry Pletnikau, Eric Liu, Jessica Hu;https://mlart.co/item/a-collaborative-fiction-with-gpt-3_-video_-personas_-and-voices-are-all-generated;
2020-11-24;8;Web App;;['Music', 'Cultur'];https://experiments.withgoogle.com/infinite-bad-guy;2020-12-01 23:54:17;An interactive, gradient-based audio and video alignment of thousands of covers of Billie Eilish’s “Bad Guy”;Billie Eilish, Google Creative Lab, YouTube Music, IYOIYO, Plan8;https://mlart.co/item/an-interactive_-gradient-based-audio-and-video-alignment-of-thousands-of-covers-of-billie-eilish_s-_bad-guy;
2017-04-01;8;Video;LSTM;['Internet of Things', 'surveillance'];http://nikonole.com/deusxmchn;2020-12-01 23:58:51;Train an LSTM on sacred texts. Use voice synthesis to play the generated scriptures on unsecured surveillance cameras with speakers;Helena Nikonole;https://mlart.co/item/train-an-lstm-on-sacred-texts_-use-voice-synthesis-to-play-the-generated-scriptures-on-unsecured-surveillance-cameras-with-speakers;deus X mchn
2020-02-01;8;Video;['Multi-Domain Multi-Modality I2I translation', 'Animating Landscape'];Culture;https://vimeo.com/392963973;2020-12-01 23:59:01;Painting by Viktor Vasnetsov, animated with 'Animating Landscape' and Multi-Domain Multi-Modality I2I translation;Vadim Epstein;https://mlart.co/item/painting-by-viktor-vasnetsov_-animated-with-_animating-landscape_-and-multi-domain-multi-modality-i2i-translation;
2019-10-01;7;['Web App', 'Image'];['PoseNet', 'Camera', 'TensorFlow.js'];['Art', 'Generative', 'Glitch'];https://princess-parts.glitch.me/;2020-12-01 23:59:10;Using PoseNet to create art using your body parts like eyes, hands, chest and knees;Monolesan;https://mlart.co/item/using-posenet-to-create-art-using-your-body-parts-like-eyes_-hands_-chest-and-knees;
2020-10-01;7;Image;StyleGAN;Nature;http://stanislaschaillou.com/biomorphosis.html;2020-12-01 23:59:22;StyleGAN interpolation, trained on Karl Blossfeldt's herbarium (1928);Stanislas Chaillou;https://mlart.co/item/stylegan-interpolation_-trained-on-karl-blossfeldt_s-herbarium-_1928;Bio Morphosis
2019-12-01;8;['Website', 'Font Files'];StyleGAN;['Graphics', 'Fonts'];http://www.machinelearningfont.com/#typetester;2020-12-02 00:09:12;An interactive demo to type with StyleGAN-generated letterforms;NaN;https://mlart.co/item/an-interactive-demo-to-type-with-stylegan-generated-letterforms;
2019-07-01;8;Dance;['VAE', 'RNN'];['Dance', 'Choreography', 'Generation'];http://beyondimitation.com/;2020-12-02 00:09:19;Generated choreography with VAEs trained on high-quality motion capture data of improvisational dance;Mariel Pettee, Chase Shimmin, Douglas Duhaime, Ilya Vidrin;https://mlart.co/item/generated-choreography-with-vaes-trained-on-high-quality-motion-capture-data-of-improvisational-dance;
2020-04-01;8;App;['BodyPix', 'Tensorflow.js'];Culture;https://github.com/nosy-b/holography;2020-12-02 00:09:26;Using BodyPix to segment people and WebXR to create holograms on-the-fly;Alexandre Devaux;https://mlart.co/item/using-bodypix-to-segment-people-and-webxr-to-create-holograms-on-the-fly;
2017-01-01;8;Video;CNN;Cars;http://francois-quevillon.com/w/?p=1466;2020-12-02 00:09:51;A tool for creating an endless car video. It's made by modifying parameters in the sampling system that's created with image features and other technologies;François Quévillon;https://mlart.co/item/a-tool-for-creating-an-endless-car-video_-it_s-made-by-modifying-parameters-in-the-sampling-system-that_s-created-with-image-features-and-other-technologies;
2013-01-01;8;Mask;['Facial Recognition', 'Genetic Algorithm'];['Surveillance', 'Culture'];http://www.sterlingcrispin.com/data-masks.html;2020-12-02 00:10:08;A Facial Recognition model guides a 3D genetic algorithm to create a mask. The masks are 3D-printed with nylon;Sterling Crispin;https://mlart.co/item/a-facial-recognition-model-guides-a-3d-genetic-algorithm-to-create-a-mask_-the-masks-are-3d-printed-with-nylon;Data-Masks
2018-01-01;14;Video;['PoseNet', 'Camera', 'Microphone'];Dance;https://googlecreativelab.github.io/posenet-sketchbook/;2020-12-02 00:10:15;A collection of open source, interactive web experiments that use PoseNet to create a relationship between movement and machine.;Maya Man;https://mlart.co/item/a-collection-of-open-source_-interactive-web-experiments-that-use-posenet-to-create-a-relationship-between-movement-and-machine;
2016-01-01;16;Image;['DeepDream', 'Gradient Ascent'];Art;http://www.miketyka.com/?p=Jurogumo;2020-12-02 00:10:22;Class visualization of insects with DeepDream;Mike Tyka;https://mlart.co/item/class-visualization-of-insects-with-deepdream;
2017-01-01;16;Video;['pix2pix', 'GAN'];['Art', 'Nature'];http://www.memo.tv/works/gloomy-sunday/;2020-12-02 00:10:29;Translate objects and hand movements to nature scenes with a Conditional GAN;Memo Akten;https://mlart.co/item/translate-objects-and-hand-movements-to-nature-scenes-with-a-conditional-gan;
2019-01-01;14;GIF;['StyleGAN', 'Style Transfer', 'Superresolution'];Nature;https://artificial-images.com/project/waaaves-style-transfer-video-art;2020-12-02 00:10:35;Style Transfer with content from waves footage and style from StyleGAN;Derrick Schultz;https://mlart.co/item/style-transfer-with-content-from-waves-footage-and-style-from-stylegan;
2019-01-01;15;Image;['Face Recognition', 'CNN'];['Art', 'Anthropomorphism'];https://notnot.home.xs4all.nl/pareidolia/pareidolia.html;2020-12-02 00:10:43;Using Face Recognition and a robot arm to find grains of sand that looks like faces;Erwin Driessens, Maria Verstappen;https://mlart.co/item/using-face-recognition-and-a-robot-arm-to-find-grains-of-sand-that-looks-like-faces;
2017-01-01;9;Installation;['RNN', 'CNN', 'Image Captioning'];['Art', 'Nature'];https://lyxsix.com/Poet-on-the-Shore;2020-12-02 00:13:09;A robot that uses a camera and translates the image feature to RNN features, and writes poems on the beach;Yuxi Liu;https://mlart.co/item/a-robot-that-uses-a-camera-and-translates-the-image-feature-to-rnn-features_-and-writes-poems-on-the-beach;
2020-10-01;8;Video;Text to Animation of Virtual Characters;['Character Animation', 'Digital Doubles', 'Virtual Personas'];https://talkingheads.rosebud.ai/;2020-12-02 00:13:16;Automatically animate digital humans or your digital double with just text or speech;Lisha Li, Vladimir Glazachev, Dzmitry Pletnikau, Eric Liu;https://mlart.co/item/automatically-animate-digital-humans-or-your-digital-double-with-just-text-or-speech;
2020-05-01;8;Website;GPT-2;['Graphics', 'Fonts'];http://www.thisfontdoesnotexist.com;2020-12-02 00:13:23;A GPT model trained on ~30k font bios to generate descriptions of speculative fonts;NaN, Production Type;https://mlart.co/item/a-gpt-model-trained-on-_30k-font-bios-to-generate-descriptions-of-speculative-fonts;
2015-01-01;8;Video;Point Cloud;['Sound', 'Nature'];http://francois-quevillon.com/w/?p=535;2020-12-02 00:13:30;0.1-second samples of birds tweeting and mapped according to a variable audio features configuration which continuously transforms the Point Cloud;François Quévillon;https://mlart.co/item/0_1-second-samples-of-birds-tweeting-and-mapped-according-to-a-variable-audio-features-configuration-which-continuously-transforms-the-point-cloud;
2020-10-01;33;['Deck of playing cards', 'Image'];['GAN', 'StyleGAN2', 'Super-resolution'];['Faces', 'Illusions', 'Generative'];https://github.com/golanlevin/AmbigrammaticFigures;2020-12-02 00:13:45;A collection of “ambigrammatic” images, generated with a GAN, legible as faces in both upside-down and right-side up orientations;Golan Levin, Lingdong Huang;https://mlart.co/item/a-collection-of-_ambigrammatic_-images_-generated-with-a-gan_-legible-as-faces-in-both-upside-down-and-right-side-up-orientations;
2020-10-01;30;GIF;GAN;['Art', 'Abstract'];https://twitter.com/erinbeess/status/1317871709870063616;2020-12-02 00:13:53;GAN trained on 10 thousand images of children's art;Erin Beesley;https://mlart.co/item/gan-trained-on-10-thousand-images-of-children_s-art;
2019-01-01;30;SVG;GPT;['Language', 'vector', 'emoji', 'font'];https://www.fluate.net/en/travaux/vectoglyph;2020-12-02 00:14:00;GPT-2 trained on SVG data, emojis from Twemoji, and symbols from the Google Noto font collection;Nicolas Boillot;https://mlart.co/item/gpt-2-trained-on-svg-data_-emojis-from-twemoji_-and-symbols-from-the-google-noto-font-collection;
2020-10-01;30;Web app;['DDSP', 'Magenta'];['Sound', 'Music', 'Instruments'];https://sites.research.google/tonetransfer;2020-12-02 00:14:07;Translating everyday sounds into instruments with Magenta's Differentiable Digital Signal Processing;Magenta;https://mlart.co/item/translating-everyday-sounds-into-instruments-with-magenta_s-differentiable-digital-signal-processing;
2020-01-01;30;Sculpture;['GAN', '3D'];Nature;http://bensnell.io/inheritance/;2020-12-02 00:15:30;A 3D-GAN trained on sculptures inspired by the influence of nature and nurture;Ben Snell;https://mlart.co/item/a-3d-gan-trained-on-sculptures-inspired-by-the-influence-of-nature-and-nurture;Inheritance
