branche;category;claps;company;compete_score;date;date_scraped;description;explore_score;field;learn_score;link;source;subcategory;subfield;tags;text;title
;Wholesale & Retail;;;1.0;;17.01.2021;We have an article embedding which encodes, in particular, the type of fabric, season, targeted gender and age, the color as well as the brand of a fashion item: Fashion DNA. Via adversarial learning, we trained a model on top of Fashion DNA with the task to forget all article properties except for color and pattern. Examples of neighborhoods with respect to the resulting article embedding are shown below.;0.0;;0.0;https://research.zalando.com/welcome/mission/research-projects/adversarial-learning/;;Machine Learning;;['Fashion', 'DL', 'CV', 'Adversarial Learning', 'Research'];"Deep learning computer vision models, based on our huge archive of fashion images, already empower various customer-facing AI products at Zalando including recommendations, search, and “complete the look”, a product that generates outfits. We currently face two obstacles in applying our models even further: (1) Models that are trained on Zalando’s highly curated shop imagery don’t generalize well to other assortments or customer produced content; and (2) Model performance is tainted by spurious correlations with confounding but irrelevant sources of information inside the Zalando image catalog. We aim to overcome both obstacles with the help of methods from adversarial learning. Implementation Challenges Adversarial learning tasks can be formulated with the help of two-player games. Here the first player’s goal is to predict a certain attribute (like the image source), while the second player’s goal is to sabotage the first player. Mathematically, this corresponds to solving saddle point optimization problems. As adversarial learning following this strategy is notoriously unstable (see the figure below for the particular challenge of “orbiting”), we plan to improve its training behaviour by refining optimization algorithms exploring 2nd order methods as well as insights from image GANs. We also plan to approach the problem by finding adversary objectives (like MMD, meta learning) that avoid the need of solving saddle point optimization problems, without unduly affecting classification ability. Learning-to-Forget Example We have an article embedding which encodes, in particular, the type of fabric, season, targeted gender and age, the color as well as the brand of a fashion item: Fashion DNA. Via adversarial learning, we trained a model on top of Fashion DNA with the task to forget all article properties except for color and pattern. Examples of neighborhoods with respect to the resulting article embedding are shown below.";Adversarial Learning
;Wholesale & Retail;;;1.0;;17.01.2021;Determinantal Point Processes (DPPs) capture notions of both relevance and diversity in a principled manner. DPPs allows the system to recommend a collection of items which is diverse, while retaining relevance, thus attempting to capture different aspects of a customer’s taste and preferences.;0.0;;0.0;https://research.zalando.com/welcome/mission/research-projects/determinantal-point-processes/;;Machine Learning;;['Fashion', 'Recommender', 'Search'];Chic, shocking, trendy, or casual, Fashion must never be monotonous. As such, diversity plays a central role in fashion. At Zalando we research such topics, focusing on elegant mathematical models named Determinantal Point Processes (DPPs) that capture notions of both relevance and diversity in a principled manner. Defined over a fixed ground set image1, for example the articles in the Zalando catalogue, DPPs define a distribution over subsets of image1. By encoding negative correlations between items in the set via a kernel matrix, a DPP will assign higher probability to subsets that are diverse. At the same time DPPs can in parallel encode the relevance of each item to a specific task, via a relevance score for example, thus allowing for a trade-off between the two aspects of the task. DPPs find many applications within Zalando, Two such cases are Recommendations and Search. In Recommender Systems, it easy to become trapped in a scenario where the system recommends the same or very similar articles simply because they are individually deemed relevant. DPPs allows the system to recommend a collection of items which is diverse, while retaining relevance, thus attempting to capture different aspects of a customer’s taste and preferences. In Figure 1 we show the two different sets of recommendations, one using only a relevance score and one using a DPP to infuse diversity;Determinantal Point Processes
;Wholesale & Retail;;;1.0;;17.01.2021;To make the properties of a fashion item more accessible, we collect the array information in the catalog and map it into an abstract mathematical linear space, the fashion space. There, the item is represented by a vector, its Fashion DNA. Unlike the catalog data, Fashion DNA is a fundamentally geometrical representation: The similarity between two articles is encoded by their distance in fashion space, while article properties (is it blue? Is it a dress? Is it offered by Nike? Does customer #1,234,567 like it?) are associated with specific directions in this space.;0.0;;0.0;https://research.zalando.com/welcome/mission/research-projects/improving-fashion-item-encoding-and-retrieval/;;Machine Learning;;['Fashion', 't-SNE', 'DNN', 'Recommender', 'Image Tagging', 'Labeling', 'Trend Revealing', 'Rank Competitors'];Unlike a brick-and-mortar department store, online retailers like Zalando must use digital representations of their offerings to entice customers. Traditionally, this takes the form of information stored in a catalog database, which collects categorical properties (tags), numerical descriptors (e.g., prices), and images of the items. Although this information is curated by in-house experts, assignments are often subjective (what makes a dress ‘dark red,’ or ‘leisure’?), and article imagery is highly stylized. It is also by no means complete. More importantly, there is no straightforward relation between these article attributes, and the properties individual customers actually care about: Does it fit? How does it feel wearing? Does it suit my style? Fashion DNA To make the properties of a fashion item more accessible, we collect the array information in the catalog and map it into an abstract mathematical linear space, the fashion space. There, the item is represented by a vector, its Fashion DNA. Unlike the catalog data, Fashion DNA is a fundamentally geometrical representation: The similarity between two articles is encoded by their distance in fashion space, while article properties (is it blue? Is it a dress? Is it offered by Nike? Does customer #1, 234, 567 like it?) are associated with specific directions in this space. Applications Linear embeddings yield access to a powerful arsenal of inference methods in the fashion universe. Generally, Fashion DNA encodings are extracted as hidden activations in a feedforward deep neural network (DNN) that is trained on a relevant target, e.g., prediction of brands and silhouettes from images, mapping images to fashion items, or prediction of customer sales from attributes and images. The resulting Fashion DNA is correspondingly optimized for different tasks. For instance, the latter setup naturally leads to an enhanced collaborative filtering recommender system for fashion. In addition to the choice of target data, we may select which input data to feed, and we have a wide latitude of neural network architectures to transform the data. Hence, we can experiment with Fashion DNA models that are tailored to specific use cases. A few prospective applications are: Image Tagging Here, the idea is to train a neural network on a set of images for an item, with the goal of predicting catalog tags (like brand, color, silhouette, etc.). During inference, feeding item images into the trained network results in a vector of probabilities for each tag, providing estimates for target groups, brand membership, color, pattern, material, etc.: There are a variety of applications beneficial to Zalando’s business, e.g., AI tagging support – tagging new additions to the online shop is a resource-intensive, error-prone, and subjective task. The algorithm can suggest tags and identify labeling mistakes and omissions. Finding fashion trends – analyzing images posted by trendsetters, influencers, and shows, one could detect fashionable styles early on. Assessing competitors’ assortments – applied on crawled images, the method can provide continuously updated insights into the strategies of other players in the online fashion sector. Information Synthesis, Inference, and Uncertainty Fashion information often is embedded in an implicit context that is easy to disentangle for a human observer with daily life experience, but presents a difficult challenge to machine learning algorithms. For instance, images may depict a model wearing a variety of fashion articles in front of a structured background, or detailed views of an item (seams, tags, brand logos, etc.) that are of particular interest to customers. It doesn’t take much effort for a human to focus on a specific element of the model outfit (the image segmentation problem), or to imagine the three-dimensional appearance of an article from a few two-dimensional snapshots. The ease at which humans go about these tasks suggests that our internal representation “engine” is not only able to aggregate the information, but also can infer missing attributes and handle uncertainty. Conventional feed-forward neural network architectures are not well equipped for the purpose, while more recent probabilistic models like variational autoencoders form a basis for developing a more powerful representation scheme. Still, even minor tweaks like changing the loss function can already render Fashion DNA much more resilient to the presentation of an item, as the map below demonstrates: Note that the model assigns similar encodings to very different views of an article (visible as clusters in the map), while still being able to extract abstract attributes like brand, silhouette, etc., with good precision. Such Fashion DNA is a useful substrate for our efforts to solve the street-to-shop task, matching fashion items depicted in real-life images to items in the online store.;Improving Fashion Item Encoding and Retrieval
;Wholesale & Retail;;;1.0;;17.01.2021;“How do I look?” – this is a question typically asked when someone tries a new type of clothing or shoe. It emphasizes that visual appearance is key to fashion. The look of fashion can even be more important than fit and size: many people are willing to trade worse fit with better looks, in particular for short-term or singular events. In a digitized world, a look is represented as an image in a computer. The research focus and purpose of this project is to generate and manipulate images related to the fashion domain by using Machine Learning (ML).;0.0;;0.0;https://research.zalando.com/welcome/mission/research-projects/swapping-of-fashion-on-people-images-with-generative-modelling/;;Machine Learning;;['Fashion', 'GAN', 'CV'];The overarching goal of this project is to advance the field of generative modeling, i.e. to build methods that learn complex probability distributions. In particular, we focus on generative adversarial networks (GANs), a relatively new technique that has shown impressive results in purely data-driven modeling of images. “How do I look?” – this is a question typically asked when someone tries a new type of clothing or shoe. It emphasizes that visual appearance is key to fashion. The look of fashion can even be more important than fit and size: many people are willing to trade worse fit with better looks, in particular for short-term or singular events. In a digitized world, a look is represented as an image in a computer. The research focus and purpose of this project is to generate and manipulate images related to the fashion domain by using Machine Learning (ML). ML is a set of methods to learn from data and model high-dimensional probability distributions. Images with millions of pixels are a domain where these techniques are very useful. In addition to classical computer vision (e.g. face detection), ML is changing the way we interact using images with computers and smartphones. Style exploration can be such a novel application utilizing computer vision that fundamentally changes how we experience the fashion world. The methodology of Generative Adversarial Networks (GANs), on which our current line of research is focused, allows for learning arbitrary probability distributions and sampling from them. When we model images, the ability to generate samples from them gives rise to exciting new applications. An amazing example that gathered world-wide publicity recently allows to map motions from one human to another human and transfer pose. Many fashion applications of generative modeling require similar generation of human body poses conditioned on specific inputs — e.g. the swapping of clothes that people are wearing, or changing the body pose of a human image while keeping a plausible appearance. Our work also focuses on using state-of-the-art-image modelling techniques in order to flexibly modify the appearance of human fashion images. We recently published our work at the International Conference for Computer Vision (ICCV). A single fashion item (orange pullover) can be combined with multiple human models. This enables exploration of how it will look on different people. We’re constantly pushing the limit by advancing methodologies – and since the mentioned publication made significant progress towards better image quality. We’ll soon publish our latest approach – so watch our homepage if you want to know how this is achieved!;Swapping of Fashion on People Images with Generative Modelling
;Wholesale & Retail;;;1.0;01.10.2020;17.01.2021;“Fashion Renderer” creates a computer-generated image of a fashion model wearing an input outfit for an input body pose. Note that the entire image, including the fashion model, is generated by our algorithm.;0.0;;0.0;https://research.zalando.com/welcome/mission/research-projects/fashion-renderer/;;Machine Learning;;['Fashion', 'StyleGAN'];At Zalando, we provide high-quality photographs of fashion models wearing the articles in our online selection. These photographs help our customers visualise the garments they browse and enhance their shopping experience. But what if our customers wish to visualise an individually created outfit? Zalando provides a large and evolving assortment of garments, which makes it infeasible to photograph every possible outfit combination. In order to circumvent this limitation, at Zalando Research, we work on a “Fashion Renderer”, which creates a computer-generated image of a fashion model wearing an input outfit for an input body pose as shown in the figure below. Note that the entire image, including the fashion model, is generated by our algorithm.;Fashion Renderer
;Wholesale & Retail;;;1.0;;17.01.2021;Our aim is to build a method which takes the past of a time series as input and effectively forecasts future events. We want to identify customer preferences, personalizing the customer shopping experience.;0.0;;0.0;https://research.zalando.com/welcome/mission/research-projects/forecasting-the-customers-preference/;;Machine Learning;;['Fashion', 'LSTM', 'Recommender', 'UX'];We study time series of interactions of articles (fashion items) with customers. Our focus lies on personalized data, meaning, that each time series collects data for a single customer only. Examples include the customer’s purchase history as well as their click chain through the product detail pages in the shop. Our aim is to build a method which takes the past of a time series as input and effectively forecasts future events – the task of a recommender system. In other words, we want to identify customer preferences (their “style”), and follow their changes through time. Such a method may have a big impact on personalizing the customer shopping experience, and we collaborate with Zalando’s recommendation team on that topic.;Forecasting the customer’s preference
;Wholesale & Retail;;;1.0;;17.01.2021;At Zalando, we target an agile design process that combines invaluable human experience with the power of Machine Learning (ML). In particular, we do research on novel ways to use generative models in fashion design for rapid visualizations and prototyping. One such ML model is the Generative Adversarial Network (GAN).;0.0;;0.0;https://research.zalando.com/welcome/mission/research-projects/generative-fashion-design/;;Machine Learning;;['Fashion', 'GAN'];What is the fastest way to visually communicate a new design? Searching for similar-looking clothes? Drawing a sketch? Or creating a 3D representation on a computer program? Although all of them are viable solutions, they are quite time consuming. At Zalando, we target an agile design process that combines invaluable human experience with the power of Machine Learning (ML). In particular, we do research on novel ways to use generative models in fashion design for rapid visualizations and prototyping. One such ML model is the Generative Adversarial Network (GAN). GAN is a deep learning architecture that learns the real data distribution in an adversarial setting. In our case, the real data correspond to the images of the articles in Zalando’s inventory. A GAN, which is trained on these images, can generate realistic-looking garment designs. In its original formulation, GANs only allow us to sample a generated image of a random article. However, in the context of fashion design, we want to control the clothing attributes, such as color, texture, and shape. In addition, it is desirable to disentangle the effects of these attributes, so that each aspect of the design can be independently manipulated as shown below:;Generative Fashion Design
;Education & Research;;;1.0;;17.01.2021;The aim of this project is to use the intrinsic structure of language to train deep-learn models to better model textual data. Useful applications of language modeling to downstream tasks such as predicting customer ratings from textual reviews (“sentiment analysis”) or locating mentions of fashion brands in a large corpus of text (“named-entity-recognition”). We use techniques based on sequential Monte Carlo sampling.;0.0;;0.5;https://research.zalando.com/welcome/mission/research-projects/syntax-aware-language-modeling-using-recurrent-neural-networks-salms/;;Machine Learning;;['Fashion', 'Sentiment Analysis', 'NER', 'DL'];The aim of this project is to use the intrinsic structure of language to train deep-learn models to better model textual data. Good modeling of textual data implies: Being able to differentiate proper language use from improper language use Being able to generate sensible and diverse samples from the language under study Useful applications of language modeling to downstream tasks such as predicting customer ratings from textual reviews (“sentiment analysis”) or locating mentions of fashion brands in a large corpus of text (“named-entity-recognition”). We consider a sentence such as “The dog is chasing the cat”. Standard language models model the likelihood of future words given already seen words (how likely is “cat” given “The dog is chasing”). Our approach goes further than this and also models the likelihood of future grammatical roles given past words and their grammatical roles. This is displayed at the top of the image — for instance it is very likely that a noun follows the verb phrase “is chasing”. Our project investigates to what extent this two-fold modeling improves the language understanding which can be derived from the model. Our experiments show that in certain cases this joint modeling can significantly improve the standard approach of only modeling the words by themselves. In doing so we use techniques based on sequential Monte Carlo sampling.;Syntax Aware Language Modeling using Recurrent Neural Networks (SALMs)
;Wholesale & Retail;;;1.0;;17.01.2021;Deep learning based approach for personalized size and fit recommendation.;0.0;;0.0;https://research.zalando.com/welcome/mission/research-projects/personalized-size-recommendation/;;Machine Learning;;['Fashion', 'DL', 'Bayesian', 'Recommender'];Have you ever wondered what would be the best fitting size of a clothing item that you would like to order online? You may have an idea about the size you generally wear, but this piece of clothing perhaps comes in a different size system or maybe it is a style or category that you have not worn before. Then apart from your own preferences, there may be other factors (such as brand, design, material, manufacturing, etc.) that may as well come into play when determining the right size that would give you the best fit and feel. Zalando has a lot of customer order and purchase data that spans over a huge assortment of fashion articles. In this project our aim is to benefit from this wealth of information to develop a personalized size recommendation service for our customers.;Personalized Size Recommendation
;Education & Research;;;1.0;;17.01.2021;pricing, search and recommendations through robust reinforcement learning;0.0;;0.0;https://research.zalando.com/welcome/mission/research-projects/robust-reinforcement-learning/;;Machine Learning;;['Fashion', 'RL', 'Recommender'];Yet many reinforcements learning methods are quite fragile, and the resulting policies akin to the Devils Hole pupfish, a cute yet sensitive fish whose only habitat is an isolated, water-filled cavern in Nevada. As with the pupfish, when the world these policies live in changes, the policy’s performance quickly deteriorates. Yet for Reinforcement Learning to inform key functions at Zalando such as pricing, search and recommendations, it must be robust to changes in the world such as seasonal differences, missing data and shifts in user behavior. It must be robust like a camel, not fragile like the pupfish. To this end, we are researching provably robust policies: policies which perform well even in the face of unexpected conditions allowing us to show more relevant and inspiring products to our customers. So next time you’re surfing on the website and see a recommendation you like, don’t forget to thank the robust camel who made it happen.;Robust Reinforcement Learning
