title;authors;publicate_at;year;link
Contextual BERT: Conditioning the Language Model Using a Global State;Denk, Peleteiro;Accepted to Coling – TextGraphs-14 workshop (2020);2020;https://arxiv.org/abs/2010.15778
Towards User-in-the-Loop Online Fashion Size Recommendation with Low Cognitive Load;Lefakis, Koriagin, Lasserre, Shirvany;FashionxRecsys (2020);2020;
Attention Gets You the Right Size and Fit in Fashion;Hajjar, Lasserre, Zhao, Shirvany;FashionxRecsys (2020);2020;
Personalized Size Recommendations with Human in the Loop;Lefakis, Koriagin, Lasserre, Shirvany;2nd ICML Workshop on Human in the Loop Learning (2020);2020;
Task-Aware Representation of Sentences for Generic Text Classification;Halder, Akbik, Krapac, Vollgraf;Accepted to Cooling (2020);2020;
Outfit Generation and Recommendation – An Experimental Study;Celikik, Kirmse, Denk, Gagliardi, Mbarek, Pham, Peleteiro;Accepted to FashionxRecsys (2020);2020;
Learning Size and Fit from Fashion Images;Karessli, Guigourès, Shirvany;Springer’s Special Issue on Fashion Recommender Systems (2020);2020;
Meta-learning for Size and Fit Recommendation in Fashion;Lasserre, Sheikh, Koriagin, Bergmann, Vollgraf, Shirvany;Society for Industrial and Applied Mathematics (SIAM). In Proceedings of the 2020 SIAM International Conference on Data Mining (SDM), Cincinnati, Ohio (2020);2020;https://epubs.siam.org/doi/pdf/10.1137/1.9781611976236.7
SizeNet: Weakly Supervised Learning of Visual Size and Fit in Fashion Images;Karessli, Guigourès, Shirvany;CVPR 2019, Workshop on Focus on Fashion and Subjective Search - Understanding Subjective Attributes of Data (FFSS-USAD) (12/2019);2019;https://arxiv.org/abs/1905.11784
Transform the Set: Memory Attentive Generation of Guided and Unguided Image Collages;Jetchev, Bergmann, Yildirim;NeurIPS 2019 Workshop on Machine Learning for Creativity and Design (12/2019);2019;https://arxiv.org/abs/1910.07236
Generating High-Resolution Fashion Model Images Wearing Custom Outfits;Yildirim, Jetchev, Vollgraf, Bergmann;ICCV 2019, Workshop on Computer Vision for Fashion, Art and Design;2019;https://arxiv.org/abs/1908.08847
Eigendecompositions of Transfer Operators in Reproducing Kernel Hilbert Spaces;Klus (ext.), Schuster, Muandet (ext.);Journal of Nonlinear Science (2019);2019;https://link.springer.com/article/10.1007/s00332-019-09574-z
A Deep Learning System for Predicting Size and Fit in Fashion E-Commerce;Sheikh, Guigourès, Koriagin, Ho, Shirvany, Vollgraf, Bergmann;Thirteenth ACM Conference on Recommender Systems / RecSys '19 (07/2019);2019;https://arxiv.org/abs/1907.09844
Learning Set-equivariant Functions with SWARM Mappings;Vollgraf;Arxiv (06/2019);2019;https://arxiv.org/abs/1906.09400
A Bandit Framework for Optimal Selection of Reinforcement Learning Agents;Merentitis, Rasul, Vollgraf, Sheikh, Bergmann;NeurIPS 2018 Workshop on Deep Reinforcement Learning (12/2018);2018;https://arxiv.org/abs/1902.03657
Copy the Old or Paint Anew? An Adversarial Framework for (non-) Parametric Image Stylization;Jetchev, Bergmann, Yildirim;NeurIPS 2018 Workshop on Machine Learning for Creativity and Design (12/2018);2018;https://arxiv.org/abs/1811.09236
A Hierarchical Bayesian Model for Size Recommendation in Fashion;Guigourès, Ho, Koryagin, Sheikh, Bergmann, Shirvany;RecSys 2018 (10/2018);2018;https://rguigoures.github.io/pdf/hierarchical-bayesian-model_final.pdf
Disentangling Multiple Conditional Inputs in GANs;Yildirim, Seward, Bergmann;KDD 2018 Fashion Workshop (08/2018);2018;https://arxiv.org/abs/1806.07819
First Order Generative Adversarial Networks;Seward, Unterthiner, Bergmann, Jetchev, Hochreiter;ICML 2018 (06/2018);2018;https://arxiv.org/abs/1802.04591
FEIDEGGER: A Multi-modal Corpus of Fashion Images and Descriptions in German;Lefakis, Akbik, Vollgraf;LREC 2018 (05/2018);2018;https://dblp.org/rec/conf/lrec/LefakisAV18
ZAP: An Open-Source Multilingual Annotation Projection Framework;Akbik, Vollgraf;LREC 2018 (05/2018);2018;https://dblp.org/rec/conf/lrec/AkbikV18
