title;category;subcategory;authors;publicate_at;year;link;date;ml_score;text;tags
Contextual BERT: Conditioning the Language Model Using a Global State;Education & Research;Machine Learning;Denk, Peleteiro;Accepted to Coling – TextGraphs-14 workshop (2020);2020;https://arxiv.org/abs/2010.15778;29.10.20;1;BERT is a popular language model whose main pre-training task is to fill in the blank, i.e., predicting a word that was masked out of a sentence, based on the remaining words. In some applications, however, having an additional context can help the model make the right prediction, e.g., by taking the domain or the time of writing into account. This motivates us to advance the BERT architecture by adding a global state for conditioning on a fixed-sized context. We present our two novel approaches and apply them to an industry use-case, where we complete fashion outfits with missing articles, conditioned on a specific customer. An experimental comparison to other methods from the literature shows that our methods improve personalization significantly.;NLP
Towards User-in-the-Loop Online Fashion Size Recommendation with Low Cognitive Load;Wholesale & Retail;Machine Learning;Lefakis, Koriagin, Lasserre, Shirvany;FashionxRecsys (2020);2020;https://research.zalando.com/welcome/mission/publications/;;0.5;;Recommender
Personalized Size Recommendations with Human in the Loop;Wholesale & Retail;Machine Learning;Lefakis, Koriagin, Lasserre, Shirvany;2nd ICML Workshop on Human in the Loop Learning (2020);2020;https://research.zalando.com/welcome/mission/publications/;;0.5;;Recommender
Task-Aware Representation of Sentences for Generic Text Classification;Education & Research;Machine Learning;Halder, Akbik, Krapac, Vollgraf;Accepted to Cooling (2020);2020;https://research.zalando.com/welcome/mission/publications/;;0.5;;Classifier
Outfit Generation and Recommendation – An Experimental Study;Wholesale & Retail;Machine Learning;Celikik, Kirmse, Denk, Gagliardi, Mbarek, Pham, Peleteiro;Accepted to FashionxRecsys (2020);2020;https://research.zalando.com/welcome/mission/publications/;;0.5;;Recommender
Learning Size and Fit from Fashion Images;Wholesale & Retail;Machine Learning;Karessli, Guigourès, Shirvany;Springer’s Special Issue on Fashion Recommender Systems (2020);2020;https://research.zalando.com/welcome/mission/publications/;;1;;CV, Classification
Meta-learning for Size and Fit Recommendation in Fashion;Education & Research;Machine Learning;Lasserre, Sheikh, Koriagin, Bergmann, Vollgraf, Shirvany;Society for Industrial and Applied Mathematics (SIAM). In Proceedings of the 2020 SIAM International Conference on Data Mining (SDM), Cincinnati, Ohio (2020);2020;https://epubs.siam.org/doi/pdf/10.1137/1.9781611976236.7;;1;Fashion e-commerce has enjoyed an exponential growth inthe last few years. A key challenge of the market players is tooffer customers a personalized experience and to suggest rel-evant articles.  In that respect, although product recommen-dation is a well-studied field, size and fit recommendation isstill in its infancy.  The size and fit topic is a very challeng-ing problem as data is extremely sparse and noisy.  Most ap-proaches so far have exploited traditional machine learningtechniques.  In this work, we bring forward a meta-learningapproach  using  an  underlying  deep  neural  network.   Theadvantage of such an approach lies in its ability to exploitlarge scale data, learn across fashion categories, and absorbnew data efficiently without re-training.  We benchmark ourmethod  against  3  recent  methods  proven  successful  in  thedomain, and demonstrate various strengths of the proposedapproach.   To  that  end,  we  use  a  large-scale  anonymizeddataset of about 9.4 million customer-size interactions, col-lected over 5 years from around 384k custome;DL, Recommender
SizeNet: Weakly Supervised Learning of Visual Size and Fit in Fashion Images;Education & Research;Machine Learning;Karessli, Guigourès, Shirvany;CVPR 2019, Workshop on Focus on Fashion and Subjective Search - Understanding Subjective Attributes of Data (FFSS-USAD) (12/2019);2019;https://arxiv.org/abs/1905.11784;28.05.19;1;Finding clothes that fit is a hot topic in the e-commerce fashion industry. Most approaches addressing this problem are based on statistical methods relying on historical data of articles purchased and returned to the store. Such approaches suffer from the cold start problem for the thousands of articles appearing on the shopping platforms every day, for which no prior purchase history is available. We propose to employ visual data to infer size and fit characteristics of fashion articles. We introduce SizeNet, a weakly-supervised teacher-student training framework that leverages the power of statistical models combined with the rich visual information from article images to learn visual cues for size and fit characteristics, capable of tackling the challenging cold start problem. Detailed experiments are performed on thousands of textile garments, including dresses, trousers, knitwear, tops, etc. from hundreds of different brands.;Supervised Learning, CV, Pattern Recognition
Transform the Set: Memory Attentive Generation of Guided and Unguided Image Collages;Education & Research;Machine Learning;Jetchev, Bergmann, Yildirim;NeurIPS 2019 Workshop on Machine Learning for Creativity and Design (12/2019);2019;https://arxiv.org/abs/1910.07236;16.10.19;1;"Cutting and pasting image segments feels intuitive: the choice of source templates gives artists flexibility in recombining existing source material. Formally, this process takes an image set as input and outputs a collage of the set elements. Such selection from sets of source templates does not fit easily in classical convolutional neural models requiring inputs of fixed size. Inspired by advances in attention and set-input machine learning, we present a novel architecture that can generate in one forward pass image collages of source templates using set-structured representations. This paper has the following contributions: (i) a novel framework for image generation called Memory Attentive Generation of Image Collages (MAGIC) which gives artists new ways to create digital collages; (ii) from the machine-learning perspective, we show a novel Generative Adversarial Networks (GAN) architecture that uses Set-Transformer layers and set-pooling to blend sets of random image samples - a hybrid non-parametric approach.";GAN, CV, Pattern Recognition
Generating High-Resolution Fashion Model Images Wearing Custom Outfits;Wholesale & Retail;Machine Learning;Yildirim, Jetchev, Vollgraf, Bergmann;ICCV 2019, Workshop on Computer Vision for Fashion, Art and Design;2019;https://arxiv.org/abs/1908.08847;23.08.19;1;Visualizing an outfit is an essential part of shopping for clothes. Due to the combinatorial aspect of combining fashion articles, the available images are limited to a pre-determined set of outfits. In this paper, we broaden these visualizations by generating high-resolution images of fashion models wearing a custom outfit under an input body pose. We show that our approach can not only transfer the style and the pose of one generated outfit to another, but also create realistic images of human bodies and garments.;GAN, CV, Pattern Recognition
Eigendecompositions of Transfer Operators in Reproducing Kernel Hilbert Spaces;Education & Research;Machine Learning;Klus (ext.), Schuster, Muandet (ext.);Journal of Nonlinear Science (2019);2019;https://link.springer.com/article/10.1007/s00332-019-09574-z;21.08.19;0;Transfer operators such as the Perron–Frobenius or Koopman operator play an important role in the global analysis of complex dynamical systems. The eigenfunctions of these operators can be used to detect metastable sets, to project the dynamics onto the dominant slow processes, or to separate superimposed signals. We propose kernel transfer operators, which extend transfer operator theory to reproducing kernel Hilbert spaces and show that these operators are related to Hilbert space representations of conditional distributions, known as conditional mean embeddings. The proposed numerical methods to compute empirical estimates of these kernel transfer operators subsume existing data-driven methods for the approximation of transfer operators such as extended dynamic mode decomposition and its variants. One main benefit of the presented kernel-based approaches is that they can be applied to any domain where a similarity measure given by a kernel is available. Furthermore, we provide elementary results on eigendecompositions of finite-rank RKHS operators. We illustrate the results with the aid of guiding examples and highlight potential applications in molecular dynamics as well as video and text data analysis.;
A Deep Learning System for Predicting Size and Fit in Fashion E-Commerce;Wholesale & Retail;Machine Learning;Sheikh, Guigourès, Koriagin, Ho, Shirvany, Vollgraf, Bergmann;Thirteenth ACM Conference on Recommender Systems / RecSys '19 (07/2019);2019;https://arxiv.org/abs/1907.09844;23.07.19;1;Personalized size and fit recommendations bear crucial significance for any fashion e-commerce platform. Predicting the correct fit drives customer satisfaction and benefits the business by reducing costs incurred due to size-related returns. Traditional collaborative filtering algorithms seek to model customer preferences based on their previous orders. A typical challenge for such methods stems from extreme sparsity of customer-article orders. To alleviate this problem, we propose a deep learning based content-collaborative methodology for personalized size and fit recommendation. Our proposed method can ingest arbitrary customer and article data and can model multiple individuals or intents behind a single account. The method optimizes a global set of parameters to learn population-level abstractions of size and fit relevant information from observed customer-article interactions. It further employs customer and article specific embedding variables to learn their properties. Together with learned entity embeddings, the method maps additional customer and article attributes into a latent space to derive personalized recommendations. Application of our method to two publicly available datasets demonstrate an improvement over the state-of-the-art published results. On two proprietary datasets, one containing fit feedback from fashion experts and the other involving customer purchases, we further outperform comparable methodologies, including a recent Bayesian approach for size recommendation.;DL, Recommender
Learning Set-equivariant Functions with SWARM Mappings;Education & Research;Machine Learning;Vollgraf;Arxiv (06/2019);2019;https://arxiv.org/abs/1906.09400;22.06.19;1;In this work we propose a new neural network architecture that efficiently implements and learns general purpose set-equivariant functions. Such a function f maps a set of entities x = {x1, . . . , xn} from one domain to a set of same cardinality y = f (x) = {y1, . . . , yn} in another domain regardless of the ordering of the entities. The architecture is based on a gated recurrent network which is iteratively applied to all entities individually and at the same time syncs with the progression of the whole population. In reminiscence to this pattern, which can be frequently observed in nature, we call our approach SWARM mapping. Set-equivariant and generally permutation invariant functions are important building blocks for many state of the art machine learning approaches. Even in applications where the permutation invariance is not of primary interest, as to be seen in the recent success of attention based transformer models (Vaswani et. al. 2017). Accordingly, we demonstrate the power and usefulness of SWARM mappings in different applications. We compare the performance of our approach with another recently proposed set-equivariant function, the Set Transformer (Lee this http URL. 2018) and we demonstrate that models solely based on SWARM layers gives state of the art results.;RNN
A Bandit Framework for Optimal Selection of Reinforcement Learning Agents;Education & Research;Machine Learning;Merentitis, Rasul, Vollgraf, Sheikh, Bergmann;NeurIPS 2018 Workshop on Deep Reinforcement Learning (12/2018);2018;https://arxiv.org/abs/1902.03657;10.02.19;1;Deep Reinforcement Learning has been shown to be very successful in complex games, e.g. Atari or Go. These games have clearly defined rules, and hence allow simulation. In many practical applications, however, interactions with the environment are costly and a good simulator of the environment is not available. Further, as environments differ by application, the optimal inductive bias (architecture, hyperparameters, etc.) of a reinforcement agent depends on the application. In this work, we propose a multi-arm bandit framework that selects from a set of different reinforcement learning agents to choose the one with the best inductive bias. To alleviate the problem of sparse rewards, the reinforcement learning agents are augmented with surrogate rewards. This helps the bandit framework to select the best agents early, since these rewards are smoother and less sparse than the environment reward. The bandit has the double objective of maximizing the reward while the agents are learning and selecting the best agent after a finite number of learning steps. Our experimental results on standard environments show that the proposed framework is able to consistently select the optimal agent after a finite number of steps, while collecting more cumulative reward compared to selecting a sub-optimal architecture or uniformly alternating between different agents.;DL, RL
Copy the Old or Paint Anew? An Adversarial Framework for (non-) Parametric Image Stylization;Education & Research;Machine Learning;Jetchev, Bergmann, Yildirim;NeurIPS 2018 Workshop on Machine Learning for Creativity and Design (12/2018);2018;https://arxiv.org/abs/1811.09236;22.11.18;1;"Parametric generative deep models are state-of-the-art for photo and non-photo realistic image stylization. However, learning complicated image representations requires compute-intense models parametrized by a huge number of weights, which in turn requires large datasets to make learning successful. Non-parametric exemplar-based generation is a technique that works well to reproduce style from small datasets, but is also compute-intensive. These aspects are a drawback for the practice of digital AI artists: typically one wants to use a small set of stylization images, and needs a fast flexible model in order to experiment with it. With this motivation, our work has these contributions: (i) a novel stylization method called Fully Adversarial Mosaics (FAMOS) that combines the strengths of both parametric and non-parametric approaches; (ii) multiple ablations and image examples that analyze the method and show its capabilities; (iii) source code that will empower artists and machine learning researchers to use and modify FAMOS.";GAN, CV, Pattern Recognition
A Hierarchical Bayesian Model for Size Recommendation in Fashion;Wholesale & Retail;Machine Learning;Guigourès, Ho, Koryagin, Sheikh, Bergmann, Shirvany;RecSys 2018 (10/2018);2018;https://rguigoures.github.io/pdf/hierarchical-bayesian-model_final.pdf;07.10.18;1;We introduce a hierarchical Bayesian approach to tackle the chal-lenging problem of size recommendation in e-commerce fashion.Our approach jointly models a size purchased by a customer, andits possible return event: 1. no return, 2. returned too small 3. re-turned too big. Those events are drawn following a multinomialdistribution parameterized on the joint probability of each event,built following a hierarchy combining priors. Such a model allowsus to incorporate extended domain expertise and article charac-teristics as prior knowledge, which in turn makes it possible forthe underlying parameters to emerge thanks to sufficient data. Ex-periments are presented on real (anonymized) data from millionsof customers along with a detailed discussion on the efficiency ofsuch an approach within a large scale production system.;Bayesian
Disentangling Multiple Conditional Inputs in GANs;Education & Research;Machine Learning;Yildirim, Seward, Bergmann;KDD 2018 Fashion Workshop (08/2018);2018;https://arxiv.org/abs/1806.07819;20.06.18;1;In this paper, we propose a method that disentangles the effects of multiple input conditions in Generative Adversarial Networks (GANs). In particular, we demonstrate our method in controlling color, texture, and shape of a generated garment image for computer-aided fashion design. To disentangle the effect of input attributes, we customize conditional GANs with consistency loss functions. In our experiments, we tune one input at a time and show that we can guide our network to generate novel and realistic images of clothing articles. In addition, we present a fashion design process that estimates the input attributes of an existing garment and modifies them using our generator.;GAN, CV, Pattern Recognition
